date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,REMA 1000-ligaen,Halden,Kristiansand,57.5,1.55,2.02,2026-03-04T14:04:41Z
2026-03-04,REMA 1000-ligaen,Halden,Kristiansand,58.5,1.71,1.81,2026-03-04T14:04:41Z
2026-03-04,REMA 1000-ligaen,Halden,Kristiansand,59.5,1.88,1.64,2026-03-04T14:04:41Z
2026-03-04,REMA 1000-ligaen,Naerboe IL,OIF Arendal,59.5,1.6,1.94,2026-03-04T14:04:41Z
2026-03-04,REMA 1000-ligaen,Naerboe IL,OIF Arendal,60.5,1.76,1.74,2026-03-04T14:04:41Z
2026-03-04,REMA 1000-ligaen,Naerboe IL,OIF Arendal,61.5,1.95,1.59,2026-03-04T14:04:41Z
2026-03-07,REMA 1000-ligaen,Runar,Elverum,62.5,1.6,1.94,2026-03-06T14:59:16Z
2026-03-07,REMA 1000-ligaen,Runar,Elverum,63.5,1.75,1.76,2026-03-06T14:59:16Z
2026-03-07,REMA 1000-ligaen,Runar,Elverum,64.5,1.93,1.6,2026-03-06T14:59:16Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,61.5,1.66,1.86,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,62.5,1.83,1.69,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Arendal,Follo HK,63.5,2.03,1.54,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,54.5,1.53,2.06,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,55.5,1.67,1.85,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Fjellhammer,Sandefjord Handball,56.5,1.86,1.66,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,58.5,1.53,2.05,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,59.5,1.67,1.85,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Kristiansand,BSK Handball Elite,60.5,1.85,1.67,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Naerbo,Halden,54.5,1.53,2.06,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Naerbo,Halden,55.5,1.67,1.85,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Naerbo,Halden,56.5,1.86,1.66,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Sandnes HK,Kolstad Handball,58.5,1.64,1.89,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Sandnes HK,Kolstad Handball,59.5,1.8,1.71,2026-03-07T14:46:17Z
2026-03-08,REMA 1000-ligaen,Sandnes HK,Kolstad Handball,60.5,2,1.56,2026-03-07T14:46:17Z
