date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-06,Liga Asobal,C BM Sporting Alicante,Globalcaja Ciudad Encantada,58.5,1.59,1.95,2026-03-04T17:50:44Z
2026-03-06,Liga Asobal,C BM Sporting Alicante,Globalcaja Ciudad Encantada,59.5,1.75,1.76,2026-03-04T17:50:44Z
2026-03-06,Liga Asobal,C BM Sporting Alicante,Globalcaja Ciudad Encantada,60.5,1.94,1.6,2026-03-04T17:50:44Z
2026-03-06,Liga Asobal,C BM Sporting Alicante,Globalcaja Ciudad Encantada,59.5,1.74,1.76,2026-03-05T15:06:24Z
2026-03-06,Liga Asobal,Huesca,CD Bidasoa Irun,58.5,1.59,1.95,2026-03-04T17:50:44Z
2026-03-06,Liga Asobal,Huesca,CD Bidasoa Irun,59.5,1.75,1.76,2026-03-04T17:50:44Z
2026-03-06,Liga Asobal,Huesca,CD Bidasoa Irun,60.5,1.94,1.6,2026-03-04T17:50:44Z
2026-03-07,Liga Asobal,Ademar,Puente Genil,56.5,1.58,1.97,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Ademar,Puente Genil,57.5,1.74,1.77,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Ademar,Puente Genil,58.5,1.94,1.6,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Nava,Caserio Ciudad Real,59.5,1.64,1.89,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Nava,Caserio Ciudad Real,60.5,1.81,1.71,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Nava,Caserio Ciudad Real,61.5,2,1.56,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Quabit Guadalajara,Morrazo Cangas,59.5,1.59,1.96,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Quabit Guadalajara,Morrazo Cangas,60.5,1.75,1.76,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Quabit Guadalajara,Morrazo Cangas,61.5,1.93,1.61,2026-03-05T15:06:24Z
