date,home,away,home_score,away_score
03.03. 19:45,Ipswich,Hull,1,0
02.03. 20:00,Birmingham,Middlesbrough,1,3
28.02. 15:00,Charlton,Wrexham,0,1
28.02. 15:00,Coventry,Stoke,2,1
28.02. 15:00,Ipswich,Swansea,3,0
28.02. 15:00,Oxford Utd,West Brom,2,1
28.02. 15:00,Preston,Millwall,0,2
28.02. 15:00,QPR,Sheffield Utd,0,2
28.02. 15:00,Sheffield Wed,Southampton,1,3
28.02. 12:30,Derby,Blackburn,3,1
28.02. 12:30,Leicester,Norwich,0,2
28.02. 12:30,Portsmouth,Hull,0,1
27.02. 20:00,Bristol City,Watford,1,2
25.02. 20:00,Stoke,Oxford Utd,2,1
25.02. 19:45,Millwall,Birmingham,3,0
25.02. 19:45,Norwich,Sheffield Wed,2,0
25.02. 19:45,Sheffield Utd,Coventry,1,2
24.02. 20:00,Southampton,QPR,5,0
24.02. 19:45,Blackburn,Bristol City,1,2
24.02. 19:45,Hull,Derby,4,2
24.02. 19:45,Middlesbrough,Leicester,1,1
24.02. 19:45,Swansea,Preston,1,1
24.02. 19:45,Watford,Ipswich,0,2
24.02. 19:45,West Brom,Charlton,1,1
24.02. 19:45,Wrexham,Portsmouth,2,1
22.02. 12:00,Sheffield Utd,Sheffield Wed,2,1
21.02. 15:00,Middlesbrough,Oxford Utd,0,0
21.02. 15:00,Millwall,Portsmouth,1,3
21.02. 15:00,Norwich,Birmingham,1,2
21.02. 15:00,Southampton,Charlton,1,1
21.02. 15:00,Watford,Derby,2,0
21.02. 15:00,Wrexham,Ipswich,5,3
21.02. 12:30,Hull,QPR,1,3
21.02. 12:30,Stoke,Leicester,2,2
21.02. 12:30,Swansea,Bristol City,1,0
21.02. 12:30,West Brom,Coventry,0,2
20.02. 20:00,Blackburn,Preston,1,0
17.02. 19:45,Bristol City,Wrexham,2,2
17.02. 19:45,Charlton,Portsmouth,1,3
16.02. 20:00,Coventry,Middlesbrough,3,1
14.02. 15:00,Derby,Swansea,2,0
14.02. 15:00,Portsmouth,Sheffield Utd,0,1
14.02. 15:00,Preston,Watford,2,2
14.02. 15:00,QPR,Blackburn,1,3
14.02. 15:00,Sheffield Wed,Millwall,1,2
11.02. 19:45,Charlton,Stoke,1,0
10.02. 20:00,Birmingham,West Brom,0,0
10.02. 19:45,Leicester,Southampton,3,4
10.02. 19:45,Oxford Utd,Norwich,0,3
09.02. 20:01,Sheffield Utd,Middlesbrough,1,2
08.02. 12:01,Swansea,Sheffield Wed,4,0
07.02. 15:01,Birmingham,Leicester,2,1
07.02. 15:01,Coventry,Oxford Utd,0,0
07.02. 15:01,Hull,Bristol City,2,3
07.02. 15:01,Preston,Portsmouth,1,0
07.02. 15:01,West Brom,Stoke,0,0
07.02. 15:01,Wrexham,Millwall,0,2
07.02. 12:31,Derby,Ipswich,1,2
07.02. 12:31,Norwich,Blackburn,2,0
07.02. 12:31,Southampton,Watford,1,0
06.02. 20:01,Charlton,QPR,0,0
03.02. 19:45,Blackburn,Sheffield Wed,1,0
03.02. 19:45,Hull,Watford,0,0
03.02. 19:45,Sheffield Utd,Oxford Utd,3,1
31.01. 15:00,Blackburn,Hull,0,1
31.01. 15:00,Ipswich,Preston,1,1
31.01. 15:00,Middlesbrough,Norwich,1,0
31.01. 15:00,Millwall,Sheffield Utd,1,1
31.01. 15:00,Oxford Utd,Birmingham,0,2
31.01. 15:00,Portsmouth,West Brom,3,0
31.01. 15:00,QPR,Coventry,2,1
31.01. 15:00,Watford,Swansea,0,2
31.01. 12:30,Leicester,Charlton,0,2
31.01. 12:30,Sheffield Wed,Wrexham,0,1
31.01. 12:30,Stoke,Southampton,0,2
30.01. 20:00,Bristol City,Derby,0,5
26.01. 20:00,Norwich,Coventry,2,1
25.01. 12:00,Portsmouth,Southampton,1,1
24.01. 15:00,Birmingham,Stoke,1,1
24.01. 15:00,Blackburn,Watford,1,1
24.01. 15:00,Bristol City,Sheffield Wed,2,0
24.01. 15:00,Hull,Swansea,2,1
24.01. 15:00,Leicester,Oxford Utd,1,2
24.01. 15:00,QPR,Wrexham,2,3
24.01. 15:00,Sheffield Utd,Ipswich,3,1
24.01. 12:30,Middlesbrough,Preston,4,0
24.01. 12:30,Millwall,Charlton,4,0
23.01. 20:00,Derby,West Brom,1,1
21.01. 20:00,Stoke,Middlesbrough,1,2
21.01. 19:45,Southampton,Sheffield Utd,1,0
21.01. 19:45,Watford,Portsmouth,1,1
20.01. 20:00,Wrexham,Leicester,1,1
20.01. 19:45,Charlton,Derby,1,2
20.01. 19:45,Coventry,Millwall,2,1
20.01. 19:45,Ipswich,Bristol City,2,0
20.01. 19:45,Oxford Utd,QPR,0,0
20.01. 19:45,Preston,Hull,0,3
20.01. 19:45,Sheffield Wed,Birmingham,0,2
20.01. 19:45,Swansea,Blackburn,3,1
20.01. 19:45,West Brom,Norwich,0,5
17.01. 17:30,Swansea,Birmingham,1,1
17.01. 15:00,Charlton,Sheffield Utd,1,0
17.01. 15:00,Oxford Utd,Bristol City,0,0
17.01. 15:00,Preston,Derby,0,1
17.01. 15:00,Sheffield Wed,Portsmouth,0,1
17.01. 15:00,Southampton,Hull,1,2
17.01. 15:00,Stoke,QPR,0,0
17.01. 15:00,Wrexham,Norwich,1,2
17.01. 12:30,Coventry,Leicester,2,1
