date,home,away,home_score,away_score
03.03. 19:45,Barnsley,Wycombe,0,1
03.03. 19:45,Exeter,Burton,1,1
03.03. 19:45,Rotherham,Mansfield,0,0
28.02. 15:00,Doncaster,Cardiff,0,4
28.02. 15:00,Exeter,Bolton,1,5
28.02. 15:00,Lincoln,Blackpool,4,0
28.02. 15:00,Mansfield,AFC Wimbledon,2,2
28.02. 15:00,Port Vale,Luton,1,1
28.02. 15:00,Reading,Bradford City,2,1
28.02. 15:00,Rotherham,Plymouth,1,0
28.02. 15:00,Stevenage,Stockport County,2,1
28.02. 15:00,Wigan,Huddersfield,1,0
28.02. 15:00,Wycombe,Burton,3,0
28.02. 12:30,Leyton Orient,Barnsley,1,3
28.02. 12:30,Northampton,Peterborough,1,1
24.02. 19:45,Bradford City,Rotherham,1,0
24.02. 19:45,Burton,Stockport County,3,0
24.02. 19:45,Northampton,Port Vale,0,1
21.02. 15:00,AFC Wimbledon,Bradford City,3,1
21.02. 15:00,Bolton,Blackpool,2,2
21.02. 15:00,Huddersfield,Barnsley,2,1
21.02. 15:00,Luton,Burton,1,1
21.02. 15:00,Mansfield,Lincoln,0,2
21.02. 15:00,Northampton,Leyton Orient,1,2
21.02. 15:00,Peterborough,Exeter,3,3
21.02. 15:00,Port Vale,Reading,1,1
21.02. 15:00,Stockport County,Wigan,4,2
21.02. 12:30,Plymouth,Cardiff,5,2
21.02. 12:30,Rotherham,Doncaster,1,2
21.02. 12:30,Wycombe,Stevenage,3,1
18.02. 19:45,Wigan,Luton,1,0
17.02. 20:00,Blackpool,Mansfield,1,0
17.02. 20:00,Reading,Bolton,1,1
17.02. 19:45,Barnsley,Peterborough,2,1
17.02. 19:45,Bradford City,Stockport County,1,0
17.02. 19:45,Burton,Rotherham,1,0
17.02. 19:45,Cardiff,AFC Wimbledon,4,1
17.02. 19:45,Doncaster,Huddersfield,1,0
17.02. 19:45,Exeter,Wycombe,1,1
17.02. 19:45,Leyton Orient,Plymouth,1,3
17.02. 19:45,Lincoln,Northampton,4,0
17.02. 19:45,Stevenage,Port Vale,2,1
14.02. 15:00,Barnsley,AFC Wimbledon,3,3
14.02. 15:00,Blackpool,Plymouth,0,4
14.02. 15:00,Bradford City,Peterborough,2,0
