date,home,away
07.03. 12:30,Cardiff,Lincoln
07.03. 12:30,Huddersfield,Rotherham
07.03. 15:00,Barnsley,Exeter
07.03. 15:00,Blackpool,Wigan
07.03. 15:00,Bolton,Wycombe
07.03. 15:00,Bradford City,Leyton Orient
07.03. 15:00,Burton,Stevenage
07.03. 15:00,Luton,Reading
07.03. 15:00Postp,Peterborough,Port Vale
07.03. 15:00,Plymouth,Doncaster
07.03. 15:00Postp,Stockport County,Mansfield
08.03. 12:00,AFC Wimbledon,Northampton
10.03. 15:00,Mansfield,Reading
10.03. 19:45,Barnsley,Cardiff
10.03. 19:45,Doncaster,Luton
10.03. 19:45,Exeter,Lincoln
10.03. 19:45,Stevenage,Leyton Orient
10.03. 19:45,Wigan,Plymouth
11.03. 19:45,AFC Wimbledon,Blackpool
11.03. 19:45,Port Vale,Bradford City
14.03. 12:30,Lincoln,Stockport County
14.03. 12:30,Rotherham,Bolton
14.03. 15:00,Doncaster,Blackpool
14.03. 15:00,Exeter,Cardiff
14.03. 15:00,Leyton Orient,Peterborough
14.03. 15:00,Mansfield,Barnsley
14.03. 15:00,Northampton,Burton
14.03. 15:00,Port Vale,Huddersfield
14.03. 15:00,Reading,Plymouth
14.03. 15:00,Stevenage,AFC Wimbledon
14.03. 15:00,Wigan,Bradford City
14.03. 15:00,Wycombe,Luton
17.03. 19:45,AFC Wimbledon,Leyton Orient
17.03. 19:45,Blackpool,Port Vale
17.03. 19:45,Bolton,Doncaster
17.03. 19:45,Bradford City,Mansfield
17.03. 19:45,Burton,Reading
17.03. 19:45,Cardiff,Wycombe
17.03. 19:45,Huddersfield,Lincoln
17.03. 19:45,Luton,Exeter
17.03. 19:45,Peterborough,Rotherham
17.03. 19:45,Plymouth,Stevenage
17.03. 19:45,Stockport County,Northampton
17.03. 20:00,Barnsley,Wigan
21.03. 12:30,Cardiff,Blackpool
21.03. 12:30,Luton,Stockport County
21.03. 15:00,AFC Wimbledon,Peterborough
21.03. 15:00,Barnsley,Doncaster
21.03. 15:00,Burton,Bradford City
21.03. 15:00,Leyton Orient,Wycombe
21.03. 15:00,Lincoln,Rotherham
21.03. 15:00,Mansfield,Northampton
21.03. 15:00,Plymouth,Huddersfield
21.03. 15:00,Port Vale,Bolton
21.03. 15:00,Stevenage,Reading
21.03. 15:00,Wigan,Exeter
24.03. 19:45,Doncaster,Port Vale
28.03. 15:00,Blackpool,Burton
28.03. 15:00,Bolton,Stevenage
28.03. 15:00,Bradford City,Plymouth
28.03. 15:00,Doncaster,Lincoln
28.03. 15:00,Exeter,Leyton Orient
