date,home,away,home_score,away_score
05.03. 20:00,Tottenham,Crystal Palace,1,3
04.03. 20:15,Newcastle,Manchester Utd,2,1
04.03. 19:30,Aston Villa,Chelsea,1,4
04.03. 19:30,Brighton,Arsenal,0,1
04.03. 19:30,Fulham,West Ham,0,1
04.03. 19:30,Manchester City,Nottingham,2,2
03.03. 20:15,Wolves,Liverpool,2,1
03.03. 19:30,Bournemouth,Brentford,0,0
03.03. 19:30,Everton,Burnley,2,0
03.03. 19:30,Leeds,Sunderland,0,1
01.03. 16:30,Arsenal,Chelsea,2,1
01.03. 14:00,Brighton,Nottingham,2,1
01.03. 14:00,Fulham,Tottenham,2,1
01.03. 14:00,Manchester Utd,Crystal Palace,2,1
28.02. 17:30,Leeds,Manchester City,0,1
28.02. 15:00,Burnley,Brentford,3,4
28.02. 15:00,Liverpool,West Ham,5,2
28.02. 15:00,Newcastle,Everton,2,3
28.02. 12:30,Bournemouth,Sunderland,1,1
27.02. 20:00,Wolves,Aston Villa,2,0
23.02. 20:00,Everton,Manchester Utd,0,1
22.02. 16:30,Tottenham,Arsenal,1,4
22.02. 14:00,Crystal Palace,Wolves,1,0
22.02. 14:00,Nottingham,Liverpool,0,1
22.02. 14:00,Sunderland,Fulham,1,3
21.02. 20:00,Manchester City,Newcastle,2,1
21.02. 17:30,West Ham,Bournemouth,0,0
21.02. 15:00,Aston Villa,Leeds,1,1
21.02. 15:00,Brentford,Brighton,0,2
21.02. 15:00,Chelsea,Burnley,1,1
18.02. 20:00,Wolves,Arsenal,2,2
12.02. 20:00,Brentford,Arsenal,1,1
11.02. 20:15,Sunderland,Liverpool,0,1
11.02. 19:30,Aston Villa,Brighton,1,0
11.02. 19:30,Crystal Palace,Burnley,2,3
11.02. 19:30,Manchester City,Fulham,3,0
11.02. 19:30,Nottingham,Wolves,0,0
10.02. 20:15,West Ham,Manchester Utd,1,1
10.02. 19:30,Chelsea,Leeds,2,2
10.02. 19:30,Everton,Bournemouth,1,2
