date,home,away
21.04. 19:00,Brighton,Chelsea
22.04. 19:00,Bournemouth,Leeds
22.04. 19:00,Burnley,Manchester City
24.04. 19:00,Sunderland,Nottingham
25.04. 11:30,Fulham,Aston Villa
25.04. 14:00,Liverpool,Crystal Palace
25.04. 14:00,West Ham,Everton
25.04. 14:00,Wolves,Tottenham
25.04. 16:30,Arsenal,Newcastle
27.04. 19:00,Manchester Utd,Brentford
01.05. 19:00,Leeds,Burnley
02.05. 14:00,Brentford,West Ham
02.05. 14:00,Newcastle,Brighton
02.05. 14:00,Wolves,Sunderland
02.05. 16:30,Arsenal,Fulham
03.05. 13:00,Bournemouth,Crystal Palace
03.05. 14:30,Manchester Utd,Liverpool
03.05. 18:00,Aston Villa,Tottenham
04.05. 14:00,Chelsea,Nottingham
04.05. 19:00,Everton,Manchester City
09.05. 11:30,Liverpool,Chelsea
09.05. 14:00,Brighton,Wolves
09.05. 14:00,Fulham,Bournemouth
09.05. 14:00,Sunderland,Manchester Utd
09.05. 16:30,Manchester City,Brentford
10.05. 13:00,Burnley,Aston Villa
10.05. 13:00,Crystal Palace,Everton
10.05. 13:00,Nottingham,Newcastle
10.05. 15:30,West Ham,Arsenal
11.05. 19:00,Tottenham,Leeds
17.05. 14:00,Arsenal,Burnley
17.05. 14:00,Aston Villa,Liverpool
17.05. 14:00,Bournemouth,Manchester City
17.05. 14:00,Brentford,Crystal Palace
17.05. 14:00,Chelsea,Tottenham
17.05. 14:00,Everton,Sunderland
17.05. 14:00,Leeds,Brighton
17.05. 14:00,Manchester Utd,Nottingham
17.05. 14:00,Newcastle,West Ham
17.05. 14:00,Wolves,Fulham
22.05. 19:00,Manchester City,Crystal Palace
24.05. 15:00,Brighton,Manchester Utd
24.05. 15:00,Burnley,Wolves
24.05. 15:00,Crystal Palace,Arsenal
24.05. 15:00,Fulham,Newcastle
24.05. 15:00,Liverpool,Brentford
24.05. 15:00,Manchester City,Aston Villa
24.05. 15:00,Nottingham,Bournemouth
24.05. 15:00,Sunderland,Chelsea
24.05. 15:00,Tottenham,Everton
24.05. 15:00,West Ham,Leeds
