date,home,away,home_score,away_score
28.01. 17:00Pen,Potenza,Ternana,1,1
28.01. 13:30,Latina,Renate,2,1
14.01. 17:00,Ternana,Potenza,0,1
14.01. 13:30,Renate,Latina,1,1
10.12. 17:00,Potenza,Crotone,3,1
10.12. 17:00,Pro Vercelli,Latina,0,1
10.12. 17:00Pen,Ravenna,Renate,1,2
10.12. 17:00,Ternana,Brescia,4,1
26.11. 19:30,Sambenedettese,Brescia,1,3
26.11. 17:00Pen,Arezzo,Latina,0,1
26.11. 17:00,Potenza,Audace Cerignola,4,2
26.11. 17:00,Pro Vercelli,Atalanta U23,5,1
26.11. 17:00,Ternana,Giugliano,3,1
26.11. 14:00,Inter U23,Renate,2,3
25.11. 19:30,Ravenna,Arzignano,3,0
25.11. 17:00,Sorrento,Crotone,1,3
30.10. 19:30Pen,Latina,Perugia,2,1
30.10. 19:30,Ospitaletto,Inter U23,1,2
29.10. 19:30,Audace Cerignola,Casarano,2,1
29.10. 19:30,Giugliano,Benevento,2,0
29.10. 19:30,L.R. Vicenza,Pro Vercelli,0,1
29.10. 19:30Pen,Monopoli,Potenza,0,1
29.10. 17:30,Arezzo,Torres,2,0
29.10. 17:30,Ravenna,Rimini,3,0
29.10. 17:30Pen,Sorrento,Trapani,2,1
29.10. 14:00,Atalanta U23,Alcione Milano,2,1
29.10. 14:00Pen,Renate,Juventus U23,2,1
29.10. 14:00,Sambenedettese,Ascoli,2,1
28.10. 19:30,Carpi,Brescia,0,1
28.10. 19:30,Ternana,Campobasso,1,0
28.10. 17:00,Forli,Arzignano,0,1
28.10. 16:30,Crotone,Foggia,1,0
17.08. 19:15Pen,Carpi,Trento,1,0
17.08. 19:00,Brescia,Dolomiti Bellunesi,2,1
17.08. 19:00,Casarano,Altamura,1,0
17.08. 19:00,Crotone,Catania,1,0
17.08. 19:00Pen,Pineto,Ascoli,2,3
17.08. 19:00Pen,Salernitana,Sorrento,1,2
17.08. 16:00,Juventus U23,Novara,1,0
17.08. 16:00,Latina,Gubbio,1,0
17.08. 16:00,Lecco,Ospitaletto,0,1
17.08. 16:00,Monopoli,Cosenza,1,0
17.08. 16:00Pen,Perugia,Pontedera,1,0
17.08. 16:00Pen,Picerno,Trapani,1,2
17.08. 16:00Pen,Pro Patria,Alcione Milano,1,2
17.08. 16:00,Ravenna,Cittadella,2,0
17.08. 16:00,Virtus Verona,Forli,2,3
16.08. 19:00,Benevento,Guidonia,1,0
16.08. 19:00,Campobasso,Casertana,3,0
16.08. 19:00,Foggia,Siracusa,2,1
16.08. 19:00,Lumezzane,Inter U23,1,2
16.08. 19:00,Sambenedettese,Vis Pesaro,2,0
16.08. 19:00,Torres,Livorno,2,1
16.08. 16:00,AlbinoLeffe,Pro Vercelli,0,3
16.08. 16:00,Arezzo,Bra,2,1
16.08. 16:00,Arzignano,Triestina,2,1
16.08. 16:00,Giana Erminio,Atalanta U23,1,4
16.08. 16:00,Giugliano,Pianese,4,1
16.08. 16:00Pen,Pergolettese,Renate,1,2
16.08. 16:00,Potenza,Cavese,1,0
