date,home,away,home_score,away_score
04.03. 20:00,Lazio,Atalanta,2,2
03.03. 20:00,Como,Inter,0,0
11.02. 20:00Pen,Bologna,Lazio,1,2
10.02. 20:00Pen,Napoli,Como,1,2
05.02. 20:00,Atalanta,Juventus,3,0
04.02. 20:00,Inter,Torino,2,1
27.01. 20:00,Fiorentina,Como,1,3
13.01. 20:00,AS Roma,Torino,2,3
04.12. 20:00,Lazio,AC Milan,1,0
04.12. 17:00,Bologna,Parma,2,1
03.12. 20:00,Inter,Venezia,5,1
03.12. 17:00Pen,Napoli,Cagliari,2,1
03.12. 14:00,Atalanta,Genoa,4,0
02.12. 20:00,Juventus,Udinese,2,0
25.09. 19:00,Torino,Pisa,1,0
25.09. 16:30,Genoa,Empoli,3,1
24.09. 19:00,Como,Sassuolo,3,0
24.09. 16:30Pen,Verona,Venezia,0,1
24.09. 15:00Pen,Parma,Spezia,3,2
23.09. 19:00,AC Milan,Lecce,3,0
23.09. 16:30,Udinese,Palermo,2,1
23.09. 15:00,Cagliari,Frosinone,4,1
18.08. 19:15,Torino,Modena,1,0
18.08. 18:45,Udinese,Carrarese,2,0
18.08. 16:30Pen,Spezia,Sampdoria,2,1
18.08. 16:00Pen,Audace Cerignola,Verona,1,2
17.08. 19:15,AC Milan,Bari,2,0
17.08. 18:45Pen,Cesena,Pisa,0,1
17.08. 16:30,Parma,Pescara,2,0
17.08. 16:00,Monza,Frosinone,0,1
16.08. 19:15Pen,Cremonese,Palermo,0,1
16.08. 18:45Pen,Cagliari,Entella,2,1
16.08. 16:30,Como,Sudtirol,3,1
16.08. 16:00,Venezia,Mantova,4,0
15.08. 19:15,Genoa,L.R. Vicenza,3,0
15.08. 18:45,Lecce,Juve Stabia,2,0
15.08. 16:30,Sassuolo,Catanzaro,1,0
15.08. 16:00Pen,Empoli,Reggiana,2,1
10.08. 18:30,Audace Cerignola,Avellino,1,0
10.08. 18:30,Pescara,Rimini,1,0
10.08. 17:30,Padova,L.R. Vicenza,0,2
09.08. 18:30,Entella,Ternana,4,0
