date,home,away,home_score,away_score
20.09. 16:00,Verona,Juventus,1,1
20.09. 13:00,Bologna,Genoa,2,1
19.09. 18:45,Lecce,Cagliari,1,2
15.09. 18:45,Como,Genoa,1,1
15.09. 16:30,Verona,Cremonese,0,0
14.09. 18:45,AC Milan,Bologna,1,0
14.09. 16:00,Sassuolo,Lazio,1,0
14.09. 13:00,Atalanta,Lecce,4,1
14.09. 13:00,Pisa,Udinese,0,1
14.09. 10:30,AS Roma,Torino,0,1
13.09. 18:45,Fiorentina,Napoli,1,3
13.09. 16:00,Juventus,Inter,4,3
13.09. 13:00,Cagliari,Parma,2,0
31.08. 18:45,Inter,Udinese,1,2
31.08. 18:45,Lazio,Verona,4,0
31.08. 16:30,Genoa,Juventus,0,1
31.08. 16:30,Torino,Fiorentina,0,0
30.08. 18:45,Napoli,Cagliari,1,0
30.08. 18:45,Pisa,AS Roma,0,1
30.08. 16:30,Bologna,Como,1,0
30.08. 16:30,Parma,Atalanta,1,1
29.08. 18:45,Lecce,AC Milan,0,2
29.08. 16:30,Cremonese,Sassuolo,3,2
25.08. 18:45,Inter,Torino,5,0
25.08. 16:30,Udinese,Verona,1,1
24.08. 18:45,Atalanta,Pisa,1,1
24.08. 18:45,Juventus,Parma,2,0
24.08. 16:30,Cagliari,Fiorentina,1,1
24.08. 16:30,Como,Lazio,2,0
23.08. 18:45,AC Milan,Cremonese,1,2
23.08. 18:45,AS Roma,Bologna,1,0
23.08. 16:30,Genoa,Lecce,0,0
23.08. 16:30,Sassuolo,Napoli,0,2
