date,home,away,home_score,away_score
20.09. 17:30,Mantova,Modena,1,3
20.09. 15:15,Monza,Sampdoria,1,0
20.09. 13:00,Reggiana,Catanzaro,2,2
20.09. 13:00,Spezia,Juve Stabia,1,3
20.09. 13:00,Venezia,Cesena,1,2
19.09. 19:00,Palermo,Bari,2,0
19.09. 17:00,Frosinone,Sudtirol,2,2
14.09. 17:30,Empoli,Spezia,1,1
14.09. 15:15,Sudtirol,Palermo,0,2
14.09. 13:00,Entella,Mantova,1,0
13.09. 17:30,Sampdoria,Cesena,1,2
13.09. 15:15,Catanzaro,Carrarese,1,1
13.09. 13:00,Juve Stabia,Reggiana,0,0
13.09. 13:00,Modena,Bari,3,0
13.09. 13:00,Padova,Frosinone,0,1
13.09. 13:00,Pescara,Venezia,2,2
12.09. 18:30,Avellino,Monza,2,1
31.08. 19:00,Bari,Monza,1,1
31.08. 19:00,Modena,Avellino,1,1
31.08. 17:00,Carrarese,Padova,0,0
31.08. 17:00,Sudtirol,Sampdoria,3,1
30.08. 19:00,Cesena,Entella,1,1
30.08. 19:00,Palermo,Frosinone,0,0
30.08. 19:00,Spezia,Catanzaro,0,0
30.08. 17:00,Juve Stabia,Venezia,0,0
30.08. 17:00,Mantova,Pescara,2,1
29.08. 18:30,Reggiana,Empoli,3,1
25.08. 18:30,Sampdoria,Modena,0,2
24.08. 19:00,Catanzaro,Sudtirol,1,1
24.08. 19:00,Frosinone,Avellino,2,0
24.08. 17:00,Spezia,Carrarese,0,2
24.08. 17:00,Venezia,Bari,2,1
23.08. 19:00,Monza,Mantova,1,0
23.08. 19:00,Palermo,Reggiana,2,1
23.08. 17:00,Empoli,Padova,3,1
23.08. 17:00,Entella,Juve Stabia,1,1
22.08. 18:30,Pescara,Cesena,1,3
