date,home,away
13.03. 19:30,Modena,Spezia
14.03. 14:00,Bari,Reggiana
14.03. 14:00,Cesena,Frosinone
14.03. 14:00,Empoli,Mantova
14.03. 14:00,Juve Stabia,Carrarese
14.03. 14:00,Padova,Catanzaro
14.03. 16:15,Monza,Palermo
14.03. 18:30,Sampdoria,Venezia
15.03. 14:00,Entella,Avellino
15.03. 16:15,Sudtirol,Pescara
17.03. 18:00,Palermo,Juve Stabia
17.03. 19:00,Catanzaro,Modena
17.03. 19:00,Mantova,Cesena
17.03. 19:00,Reggiana,Monza
17.03. 19:00,Spezia,Empoli
17.03. 19:00,Venezia,Padova
18.03. 18:00,Frosinone,Bari
18.03. 19:00,Avellino,Sudtirol
18.03. 19:00,Carrarese,Sampdoria
18.03. 19:00,Pescara,Entella
21.03. 14:00,Cesena,Catanzaro
21.03. 14:00,Juve Stabia,Spezia
21.03. 14:00,Padova,Palermo
21.03. 16:15,Monza,Venezia
21.03. 18:30,Modena,Mantova
22.03. 14:00,Bari,Carrarese
22.03. 14:00,Empoli,Pescara
22.03. 14:00,Sudtirol,Frosinone
22.03. 16:15,Sampdoria,Avellino
22.03. 18:30,Entella,Reggiana
05.04. 15:15,Frosinone,Padova
05.04. 17:30,Palermo,Avellino
06.04. 10:30,Cesena,Sudtirol
06.04. 13:00,Bari,Modena
06.04. 13:00,Catanzaro,Monza
06.04. 13:00,Mantova,Entella
06.04. 13:00,Reggiana,Pescara
06.04. 13:00,Venezia,Juve Stabia
06.04. 15:15,Sampdoria,Empoli
06.04. 17:30,Carrarese,Spezia
10.04. 18:30,Frosinone,Palermo
11.04. 13:00,Entella,Venezia
11.04. 13:00,Juve Stabia,Cesena
11.04. 13:00,Pescara,Sampdoria
11.04. 13:00,Sudtirol,Modena
11.04. 15:15,Avellino,Catanzaro
11.04. 17:30,Monza,Bari
12.04. 13:00,Padova,Empoli
12.04. 15:15,Spezia,Mantova
12.04. 17:30,Reggiana,Carrarese
17.04. 18:30,Sampdoria,Monza
18.04. 13:00,Bari,Venezia
18.04. 13:00,Mantova,Avellino
18.04. 13:00,Modena,Frosinone
18.04. 13:00,Spezia,Sudtirol
18.04. 15:15,Palermo,Cesena
18.04. 17:30,Juve Stabia,Catanzaro
19.04. 13:00,Carrarese,Pescara
19.04. 15:15,Padova,Reggiana
19.04. 17:30,Empoli,Entella
24.04. 17:00,Monza,Modena
24.04. 19:00,Avellino,Bari
25.04. 10:30,Catanzaro,Spezia
25.04. 13:00,Entella,Padova
25.04. 13:00,Frosinone,Carrarese
25.04. 13:00,Pescara,Juve Stabia
25.04. 13:00,Reggiana,Palermo
25.04. 13:00,Sudtirol,Mantova
25.04. 15:15,Venezia,Empoli
25.04. 17:30,Cesena,Sampdoria
01.05. 13:00,Bari,Entella
01.05. 13:00,Carrarese,Cesena
01.05. 13:00,Empoli,Avellino
01.05. 13:00,Juve Stabia,Frosinone
01.05. 13:00,Mantova,Monza
01.05. 13:00,Modena,Reggiana
01.05. 13:00,Padova,Pescara
01.05. 13:00,Palermo,Catanzaro
01.05. 13:00,Sampdoria,Sudtirol
01.05. 13:00,Spezia,Venezia
08.05. 18:30,Avellino,Modena
08.05. 18:30,Catanzaro,Bari
08.05. 18:30,Cesena,Padova
08.05. 18:30,Entella,Carrarese
08.05. 18:30,Frosinone,Mantova
08.05. 18:30,Monza,Empoli
08.05. 18:30,Pescara,Spezia
08.05. 18:30,Reggiana,Sampdoria
08.05. 18:30,Sudtirol,Juve Stabia
08.05. 18:30,Venezia,Palermo
