date,home,away,home_score,away_score
17.09. 17:00,Virtus Verona,Inter U23,1,2
15.09. 18:30,Cittadella,L.R. Vicenza,0,1
14.09. 15:30,Pro Patria,Novara,0,0
14.09. 13:00,Inter U23,Lecco,0,1
14.09. 13:00,Trento,AlbinoLeffe,2,2
13.09. 13:00,Dolomiti Bellunesi,Alcione Milano,1,1
13.09. 13:00,Lumezzane,Triestina,1,2
13.09. 13:00,Pro Vercelli,Virtus Verona,0,2
13.09. 13:00,Renate,Brescia,1,3
12.09. 18:30,Arzignano,Giana Erminio,0,0
12.09. 18:30,Ospitaletto,Pergolettese,1,2
07.09. 15:30,Giana Erminio,Pro Patria,2,1
07.09. 15:30,L.R. Vicenza,Arzignano,2,1
07.09. 13:00,Lecco,Dolomiti Bellunesi,3,0
07.09. 13:00,Novara,Trento,1,1
07.09. 13:00,Triestina,Ospitaletto,1,1
06.09. 18:30,Brescia,Pro Vercelli,5,0
06.09. 18:30,Pergolettese,Cittadella,3,1
06.09. 13:00,AlbinoLeffe,Renate,2,3
06.09. 13:00,Alcione Milano,Lumezzane,1,0
31.08. 19:00,Ospitaletto,L.R. Vicenza,0,0
31.08. 16:00,Arzignano,Virtus Verona,3,2
31.08. 16:00,Trento,Brescia,0,2
31.08. 13:30,Dolomiti Bellunesi,Novara,1,1
31.08. 13:30,Inter U23,Pro Patria,2,2
31.08. 13:30,Lumezzane,Pergolettese,2,3
30.08. 16:00,Renate,Giana Erminio,1,1
30.08. 16:00,Triestina,Lecco,1,1
29.08. 19:00,Cittadella,Alcione Milano,1,0
29.08. 19:00,Pro Vercelli,AlbinoLeffe,2,1
25.08. 18:30,Novara,Inter U23,1,1
24.08. 19:00,L.R. Vicenza,Lumezzane,5,0
24.08. 19:00,Pro Patria,Pro Vercelli,2,3
24.08. 16:00,Pergolettese,Renate,0,1
24.08. 16:00,Virtus Verona,Cittadella,1,1
23.08. 19:00,AlbinoLeffe,Dolomiti Bellunesi,2,2
23.08. 19:00,Brescia,Arzignano,1,2
23.08. 19:00,Lecco,Ospitaletto,2,1
23.08. 16:00,Alcione Milano,Triestina,1,0
23.08. 16:00,Giana Erminio,Trento,0,2
