date,home,away
07.03. 13:30,Arzignano,Lecco
07.03. 13:30,Dolomiti Bellunesi,Ospitaletto
07.03. 13:30,Giana Erminio,L.R. Vicenza
07.03. 13:30,Inter U23,AlbinoLeffe
07.03. 13:30,Novara,Pergolettese
07.03. 13:30,Trento,Virtus Verona
07.03. 16:30,Brescia,Triestina
07.03. 16:30,Pro Patria,Alcione Milano
07.03. 16:30,Pro Vercelli,Cittadella
07.03. 16:30,Renate,Lumezzane
13.03. 19:30,Alcione Milano,Brescia
14.03. 16:30,Ospitaletto,Trento
14.03. 16:30,Pergolettese,Arzignano
14.03. 19:30,AlbinoLeffe,Giana Erminio
15.03. 13:30,Triestina,Pro Vercelli
15.03. 16:30,Cittadella,Dolomiti Bellunesi
15.03. 16:30,Lumezzane,Pro Patria
15.03. 16:30,Virtus Verona,Renate
15.03. 19:30,Lecco,Novara
16.03. 19:30,L.R. Vicenza,Inter U23
20.03. 19:30,Trento,Triestina
20.03. 19:30,Virtus Verona,AlbinoLeffe
21.03. 13:30,Brescia,Ospitaletto
21.03. 13:30,Giana Erminio,Pergolettese
21.03. 16:30,Pro Vercelli,Lumezzane
21.03. 16:30,Renate,L.R. Vicenza
22.03. 11:30,Pro Patria,Lecco
22.03. 13:30,Novara,Alcione Milano
22.03. 16:30,Arzignano,Cittadella
22.03. 16:30,Inter U23,Dolomiti Bellunesi
28.03. 13:30,Lumezzane,AlbinoLeffe
28.03. 13:30,Ospitaletto,Giana Erminio
28.03. 16:30,Alcione Milano,Pro Vercelli
28.03. 16:30,Dolomiti Bellunesi,Arzignano
28.03. 16:30,Pergolettese,Pro Patria
28.03. 16:30,Renate,Novara
28.03. 16:30,Triestina,Virtus Verona
29.03. 10:30,Inter U23,Trento
29.03. 12:30,L.R. Vicenza,Brescia
29.03. 15:30,Cittadella,Lecco
03.04. 18:30,Arzignano,Renate
03.04. 18:30,Brescia,Cittadella
03.04. 18:30,Lecco,L.R. Vicenza
03.04. 18:30,Novara,Lumezzane
04.04. 12:30,Pro Vercelli,Inter U23
04.04. 15:30,Trento,Alcione Milano
06.04. 12:30,Giana Erminio,Dolomiti Bellunesi
06.04. 12:30,Pro Patria,Triestina
06.04. 15:30,AlbinoLeffe,Pergolettese
06.04. 15:30,Virtus Verona,Ospitaletto
10.04. 18:30,Alcione Milano,Lecco
11.04. 12:30,Lumezzane,Brescia
11.04. 12:30,Pergolettese,Virtus Verona
11.04. 12:30,Triestina,Giana Erminio
11.04. 15:30,L.R. Vicenza,Novara
12.04. 15:30,Cittadella,Trento
12.04. 15:30,Ospitaletto,AlbinoLeffe
12.04. 18:30,Inter U23,Arzignano
13.04. 18:30,Dolomiti Bellunesi,Pro Patria
13.04. 18:30,Renate,Pro Vercelli
19.04. 12:30,AlbinoLeffe,Triestina
19.04. 12:30,Brescia,Dolomiti Bellunesi
19.04. 12:30,Giana Erminio,Inter U23
19.04. 12:30,L.R. Vicenza,Pergolettese
19.04. 12:30,Lecco,Lumezzane
19.04. 12:30,Novara,Cittadella
19.04. 12:30,Pro Patria,Arzignano
19.04. 12:30,Pro Vercelli,Ospitaletto
19.04. 12:30,Trento,Renate
19.04. 12:30,Virtus Verona,Alcione Milano
25.04. 18:30,Alcione Milano,AlbinoLeffe
25.04. 18:30,Arzignano,Pro Vercelli
25.04. 18:30,Cittadella,Giana Erminio
25.04. 18:30,Dolomiti Bellunesi,Trento
25.04. 18:30,Inter U23,Brescia
25.04. 18:30,Lumezzane,Virtus Verona
25.04. 18:30,Ospitaletto,Novara
25.04. 18:30,Pergolettese,Lecco
25.04. 18:30,Renate,Pro Patria
25.04. 18:30,Triestina,L.R. Vicenza
