date,home,away,home_score,away_score
20.09. 13:00,Gubbio,Bra,1,0
20.09. 13:00,Livorno,Ascoli,0,3
20.09. 13:00,Pineto,Juventus U23,2,3
20.09. 13:00,Sambenedettese,Carpi,0,1
20.09. 13:00,Torres,Ternana,1,1
20.09. 13:00,Vis Pesaro,Pianese,0,0
19.09. 18:30,Arezzo,Guidonia,0,1
19.09. 18:30,Pontedera,Campobasso,0,4
19.09. 18:30,Ravenna,Perugia,3,2
19.09. 18:30,Rimini,Forli,1,0
14.09. 18:30,Ternana,Carpi,2,0
14.09. 15:30,Vis Pesaro,Livorno,3,0
14.09. 13:00,Bra,Torres,1,1
14.09. 13:00,Perugia,Ascoli,0,2
14.09. 10:30,Juventus U23,Arezzo,2,3
13.09. 15:30,Campobasso,Pineto,0,1
13.09. 15:30,Forli,Gubbio,0,1
13.09. 15:30,Pontedera,Rimini,2,1
13.09. 13:00,Guidonia,Ravenna,1,2
13.09. 13:00,Pianese,Sambenedettese,1,1
07.09. 18:30,Livorno,Guidonia,0,1
07.09. 18:30,Rimini,Ternana,1,4
07.09. 18:30,Sambenedettese,Forli,1,2
07.09. 15:30,Pineto,Pontedera,1,1
07.09. 15:30,Ravenna,Bra,3,1
06.09. 15:30,Arezzo,Vis Pesaro,1,0
06.09. 15:30,Ascoli,Juventus U23,0,0
06.09. 15:30,Carpi,Campobasso,2,2
06.09. 15:30,Torres,Pianese,0,2
06.09. 13:00,Gubbio,Perugia,1,1
01.09. 19:00,Guidonia,Pineto,0,2
01.09. 18:30,Forli,Ravenna,1,0
31.08. 19:00,Ternana,Ascoli,0,2
31.08. 16:00,Pianese,Carpi,0,1
30.08. 19:00,Gubbio,Sambenedettese,1,1
30.08. 19:00,Juventus U23,Livorno,2,1
30.08. 16:00,Bra,Perugia,2,2
30.08. 16:00,Campobasso,Torres,2,1
29.08. 19:00,Pontedera,Arezzo,0,3
29.08. 19:00,Vis Pesaro,Rimini,0,0
23.08. 19:00,Ravenna,Campobasso,3,2
23.08. 19:00,Rimini,Gubbio,0,1
23.08. 16:00,Ascoli,Pianese,0,0
23.08. 16:00,Carpi,Juventus U23,1,1
23.08. 15:30,Torres,Pontedera,1,0
22.08. 19:15,Arezzo,Forli,1,0
22.08. 19:15,Livorno,Ternana,1,0
22.08. 19:15,Perugia,Guidonia,0,0
22.08. 19:15,Pineto,Vis Pesaro,1,1
22.08. 19:15,Sambenedettese,Bra,1,0
