date,home,away
08.03. 11:30,Forli,Livorno
08.03. 11:30,Juventus U23,Vis Pesaro
08.03. 13:30,Carpi,Torres
08.03. 13:30,Pianese,Pineto
08.03. 16:30,Guidonia,Sambenedettese
08.03. 19:30,Ternana,Gubbio
09.03. 19:30,Ascoli,Ravenna
09.03. 19:30,Campobasso,Arezzo
09.03. 19:30,Perugia,Pontedera
14.03. 13:30,Pineto,Bra
14.03. 13:30,Torres,Ravenna
14.03. 16:30,Livorno,Carpi
14.03. 16:30,Pontedera,Guidonia
14.03. 16:30,Vis Pesaro,Ternana
14.03. 19:30,Sambenedettese,Campobasso
15.03. 11:30,Forli,Juventus U23
15.03. 13:30,Arezzo,Perugia
15.03. 13:30,Gubbio,Ascoli
20.03. 19:30,Bra,Arezzo
20.03. 19:30,Perugia,Torres
20.03. 19:30,Ternana,Sambenedettese
21.03. 13:30,Guidonia,Vis Pesaro
21.03. 13:30,Juventus U23,Gubbio
21.03. 13:30,Pianese,Pontedera
21.03. 16:30,Campobasso,Forli
21.03. 16:30,Carpi,Pineto
21.03. 16:30,Ravenna,Livorno
28.03. 13:30,Torres,Livorno
29.03. 12:30,Juventus U23,Ternana
29.03. 12:30,Pontedera,Bra
29.03. 15:30,Campobasso,Guidonia
29.03. 15:30,Forli,Pianese
29.03. 15:30,Vis Pesaro,Perugia
29.03. 18:30,Gubbio,Ravenna
29.03. 18:30,Pineto,Sambenedettese
30.03. 18:30,Arezzo,Ascoli
03.04. 18:30,Carpi,Pontedera
03.04. 18:30,Livorno,Gubbio
04.04. 12:30,Pianese,Campobasso
04.04. 12:30,Sambenedettese,Arezzo
04.04. 15:30,Bra,Forli
04.04. 15:30,Guidonia,Ternana
04.04. 15:30,Perugia,Juventus U23
04.04. 15:30,Ravenna,Pineto
04.04. 18:30,Ascoli,Vis Pesaro
11.04. 12:30,Campobasso,Bra
11.04. 12:30,Gubbio,Pianese
11.04. 12:30,Pineto,Torres
11.04. 15:30,Forli,Ascoli
12.04. 10:30,Juventus U23,Guidonia
12.04. 10:30,Ternana,Perugia
12.04. 15:30,Arezzo,Livorno
12.04. 15:30,Pontedera,Ravenna
12.04. 15:30,Vis Pesaro,Carpi
18.04. 18:30,Ascoli,Guidonia
18.04. 18:30,Bra,Ternana
18.04. 18:30,Carpi,Forli
18.04. 18:30,Perugia,Campobasso
18.04. 18:30,Pianese,Juventus U23
18.04. 18:30,Pineto,Arezzo
18.04. 18:30,Ravenna,Vis Pesaro
18.04. 18:30,Sambenedettese,Pontedera
18.04. 18:30,Torres,Gubbio
26.04. 12:30,Arezzo,Torres
26.04. 12:30,Campobasso,Ascoli
26.04. 12:30,Forli,Perugia
26.04. 12:30,Gubbio,Pineto
26.04. 12:30,Guidonia,Carpi
26.04. 12:30,Juventus U23,Bra
26.04. 12:30,Pontedera,Livorno
26.04. 12:30,Ternana,Pianese
26.04. 12:30,Vis Pesaro,Sambenedettese
