date,home,away,home_score,away_score
20.09. 15:30,Audace Cerignola,Foggia,0,0
20.09. 15:30,Casertana,Cosenza,1,1
20.09. 15:30,Catania,Sorrento,0,0
20.09. 15:30,Crotone,Siracusa,2,0
20.09. 15:30,Latina,Monopoli,0,1
17.09. 18:00,Salernitana,Atalanta U23,1,0
15.09. 18:30,Cavese,Giugliano,2,2
14.09. 18:30,Salernitana,Sorrento,2,1
14.09. 15:30,Trapani,Casertana,2,0
14.09. 13:00,Atalanta U23,Altamura,0,0
14.09. 13:00,Cosenza,Catania,4,1
13.09. 15:30,Picerno,Casarano,1,2
13.09. 15:30,Siracusa,Benevento,0,3
12.09. 18:30,Foggia,Latina,1,1
12.09. 18:30,Monopoli,Audace Cerignola,2,0
12.09. 18:30,Potenza,Crotone,3,3
07.09. 18:30,Altamura,Cavese,2,1
07.09. 18:30,Audace Cerignola,Siracusa,3,1
07.09. 18:30,Latina,Picerno,1,2
07.09. 15:30,Crotone,Cosenza,0,0
06.09. 18:30,Casarano,Benevento,1,0
06.09. 18:30,Casertana,Potenza,3,2
06.09. 18:30,Catania,Monopoli,4,0
06.09. 15:30,Giugliano,Foggia,1,0
06.09. 15:30,Sorrento,Trapani,1,2
31.08. 19:00,Benevento,Casertana,2,1
31.08. 19:00,Cosenza,Salernitana,1,2
31.08. 19:00,Siracusa,Monopoli,1,2
31.08. 16:00,Altamura,Crotone,0,4
31.08. 16:00,Picerno,Giugliano,2,2
30.08. 19:00,Foggia,Sorrento,1,0
30.08. 19:00,Potenza,Audace Cerignola,0,0
30.08. 19:00,Trapani,Latina,6,0
30.08. 16:00,Cavese,Catania,0,1
29.08. 19:00,Atalanta U23,Casarano,6,2
25.08. 19:00,Audace Cerignola,Picerno,2,2
25.08. 19:00,Casertana,Altamura,3,1
25.08. 19:00,Crotone,Benevento,1,2
25.08. 19:00,Salernitana,Siracusa,1,0
24.08. 19:00,Casarano,Trapani,0,0
24.08. 19:00,Catania,Foggia,6,0
24.08. 19:00,Monopoli,Cosenza,2,2
24.08. 16:00,Giugliano,Potenza,2,3
24.08. 16:00,Latina,Atalanta U23,1,0
24.08. 16:00,Sorrento,Cavese,0,0
