date,home,away
05.03. 17:00,Casarano,Siracusa
05.03. 17:00,Giugliano,Monopoli
05.03. 17:00,Latina,Sorrento
05.03. 17:00,Picerno,Atalanta U23
05.03. 19:30,Altamura,Foggia
05.03. 19:30,Audace Cerignola,Trapani
05.03. 19:30,Benevento,Catania
05.03. 19:30,Casertana,Salernitana
05.03. 19:30,Crotone,Cavese
05.03. 19:30,Potenza,Cosenza
08.03. 13:30,Cosenza,Altamura
08.03. 13:30,Salernitana,Latina
08.03. 13:30,Siracusa,Giugliano
08.03. 13:30,Trapani,Crotone
08.03. 16:30,Foggia,Potenza
08.03. 16:30,Sorrento,Benevento
08.03. 19:30,Cavese,Picerno
09.03. 19:30,Atalanta U23,Audace Cerignola
09.03. 19:30,Catania,Casertana
09.03. 19:30,Monopoli,Casarano
14.03. 13:30,Casarano,Cosenza
14.03. 13:30,Giugliano,Atalanta U23
14.03. 13:30,Latina,Siracusa
14.03. 13:30,Potenza,Cavese
15.03. 11:30,Crotone,Salernitana
15.03. 13:30,Altamura,Catania
15.03. 13:30,Benevento,Foggia
15.03. 13:30,Picerno,Trapani
15.03. 16:30,Audace Cerignola,Sorrento
15.03. 16:30,Casertana,Monopoli
21.03. 13:30,Atalanta U23,Casertana
22.03. 11:30,Cavese,Foggia
22.03. 13:30,Audace Cerignola,Giugliano
22.03. 13:30,Cosenza,Latina
22.03. 13:30,Siracusa,Picerno
22.03. 13:30,Sorrento,Crotone
22.03. 13:30,Trapani,Potenza
23.03. 19:30,Catania,Casarano
23.03. 19:30,Monopoli,Benevento
23.03. 19:30,Salernitana,Altamura
28.03. 13:30,Atalanta U23,Cavese
28.03. 13:30,Latina,Catania
28.03. 13:30,Potenza,Salernitana
29.03. 10:30,Benevento,Cosenza
29.03. 12:30,Altamura,Siracusa
29.03. 12:30,Crotone,Audace Cerignola
29.03. 12:30,Foggia,Trapani
29.03. 15:30,Casarano,Giugliano
29.03. 18:30,Picerno,Monopoli
30.03. 18:30,Casertana,Sorrento
04.04. 12:30,Cosenza,Foggia
04.04. 12:30,Monopoli,Trapani
04.04. 12:30,Siracusa,Atalanta U23
04.04. 18:30,Cavese,Casertana
06.04. 10:30,Giugliano,Crotone
06.04. 10:30,Sorrento,Altamura
06.04. 12:30,Audace Cerignola,Latina
06.04. 12:30,Casarano,Potenza
06.04. 12:30,Catania,Picerno
06.04. 12:30,Salernitana,Benevento
11.04. 18:30,Benevento,Cavese
11.04. 18:30,Crotone,Catania
11.04. 18:30,Picerno,Cosenza
12.04. 12:30,Altamura,Giugliano
12.04. 12:30,Atalanta U23,Monopoli
12.04. 12:30,Casertana,Audace Cerignola
12.04. 12:30,Foggia,Siracusa
12.04. 12:30,Latina,Casarano
12.04. 12:30,Trapani,Salernitana
12.04. 18:30,Potenza,Sorrento
19.04. 18:30,Audace Cerignola,Altamura
19.04. 18:30,Casarano,Crotone
19.04. 18:30,Catania,Potenza
19.04. 18:30,Cosenza,Trapani
19.04. 18:30,Giugliano,Benevento
19.04. 18:30,Latina,Casertana
19.04. 18:30,Monopoli,Foggia
19.04. 18:30,Salernitana,Picerno
19.04. 18:30,Siracusa,Cavese
19.04. 18:30,Sorrento,Atalanta U23
26.04. 16:00,Altamura,Casarano
26.04. 16:00,Atalanta U23,Catania
26.04. 16:00,Benevento,Audace Cerignola
26.04. 16:00,Casertana,Giugliano
26.04. 16:00,Cavese,Cosenza
26.04. 16:00,Crotone,Latina
26.04. 16:00,Foggia,Salernitana
26.04. 16:00,Picerno,Sorrento
26.04. 16:00,Potenza,Monopoli
26.04. 16:00,Trapani,Siracusa
