date,home,away,home_score,away_score
09.06. 14:00,Notodden,Brann 2,3,0
09.06. 12:30,Eik-Tonsberg,Traeff,2,0
08.06. 14:00,Sotra,Jerv,2,1
08.06. 12:30,Pors,Sandviken,1,1
08.06. 12:00,Flekkeroy,Lysekloster,3,1
08.06. 11:00,Arendal,Brattvag,3,3
07.06. 13:00,V. Haugesund,Sandnes,2,2
02.06. 13:00,Brann 2,Eik-Tonsberg,2,2
01.06. 13:00,Brattvag,Flekkeroy,3,3
01.06. 11:00,Sandviken,Arendal,1,1
31.05. 15:00,Jerv,Sandnes,1,3
31.05. 11:00,Lysekloster,Notodden,0,0
31.05. 11:00,Pors,Sotra,0,2
31.05. 11:00,Traeff,V. Haugesund,1,2
25.05. 16:00,Arendal,Brann 2,6,1
25.05. 14:00,Notodden,Jerv,2,3
25.05. 11:00,Flekkeroy,Traeff,3,0
25.05. 11:00,V. Haugesund,Brattvag,4,4
24.05. 12:00,Eik-Tonsberg,Pors,4,4
24.05. 12:00,Sandnes,Lysekloster,0,0
23.05. 17:30,Sotra,Sandviken,2,2
16.05. 16:00,Jerv,Arendal,1,1
12.05. 13:00,Brann 2,Flekkeroy,4,3
11.05. 11:00,Brattvag,Sandnes,2,5
11.05. 10:00,Traeff,Lysekloster,2,1
10.05. 11:00,Pors,V. Haugesund,1,2
10.05. 11:00,Sandviken,Notodden,2,2
10.05. 11:00,Sotra,Eik-Tonsberg,4,0
04.05. 13:00,V. Haugesund,Brann 2,2,1
04.05. 11:00,Lysekloster,Brattvag,1,2
03.05. 14:00,Flekkeroy,Jerv,1,1
03.05. 14:00,Sandnes,Traeff,1,1
03.05. 13:00,Notodden,Pors,2,1
03.05. 12:00,Eik-Tonsberg,Sandviken,3,0
02.05. 16:00,Arendal,Sotra,1,1
28.04. 14:30,Brann 2,Sandnes,2,1
27.04. 14:00,Pors,Lysekloster,2,1
27.04. 14:00,Sandviken,Flekkeroy,5,3
27.04. 12:00,Brattvag,Jerv,2,3
27.04. 11:00,Arendal,Traeff,1,0
27.04. 11:00,Eik-Tonsberg,V. Haugesund,1,1
27.04. 11:00,Sotra,Notodden,1,3
21.04. 16:00,Lysekloster,Brann 2,3,2
21.04. 14:00,Notodden,Arendal,1,1
21.04. 13:00,Flekkeroy,Eik-Tonsberg,0,2
21.04. 12:00,Jerv,Sandviken,1,2
21.04. 11:00,Sandnes,Pors,2,1
19.04. 13:00,Traeff,Brattvag,1,0
19.04. 13:00,V. Haugesund,Sotra,0,2
07.04. 12:00,Brann 2,Brattvag,4,3
06.04. 14:00,Sotra,Flekkeroy,6,1
06.04. 11:00,Pors,Traeff,1,1
05.04. 14:00,Arendal,Sandnes,3,3
05.04. 12:00,Eik-Tonsberg,Notodden,1,1
05.04. 12:00,Sandviken,Lysekloster,2,1
05.04. 12:00,V. Haugesund,Jerv,1,2
30.03. 14:00,Brattvag,Sandviken,2,1
30.03. 13:00,Traeff,Brann 2,3,4
30.03. 11:00,Sandnes,Eik-Tonsberg,3,1
29.03. 14:00,Flekkeroy,Arendal,1,1
29.03. 14:00,Lysekloster,Sotra,0,0
29.03. 12:00,Jerv,Pors,1,1
29.03. 12:00,Notodden,V. Haugesund,2,1
