date,home,away,home_score,away_score
14.06. 10:00,Ready,Grei,-,-
14.06. 12:00,Flint,Oppsal,-,-
14.06. 13:00,Fram,Sarpsborg 08 2,-,-
15.06. 12:00,Orn,Pors 2,-,-
15.06. 13:00,Stabaek 2,Kvik Halden,-,-
16.06. 16:00,Lokomotiv Oslo,Odd 2,-,-
16.06. 17:00,Fredrikstad 2,Drobak-Frogn,-,-
21.06. 12:00,Kvik Halden,Lokomotiv Oslo,-,-
21.06. 12:00,Oppsal,Fram,-,-
21.06. 13:00,Drobak-Frogn,Flint,-,-
22.06. 12:00,Grei,Stabaek 2,-,-
22.06. 13:00,Odd 2,Pors 2,-,-
23.06. 17:00,Sarpsborg 08 2,Orn,-,-
23.06. 18:00,Fredrikstad 2,Ready,-,-
19.07. 11:00,Ready,Drobak-Frogn,-,-
19.07. 12:00,Flint,Grei,-,-
19.07. 13:00,Fram,Odd 2,-,-
19.07. 13:00,Orn,Kvik Halden,-,-
19.07. 13:00,Pors 2,Oppsal,-,-
21.07. 12:00,Stabaek 2,Fredrikstad 2,-,-
21.07. 17:00,Lokomotiv Oslo,Sarpsborg 08 2,-,-
26.07. 12:00,Grei,Fram,-,-
26.07. 12:00,Kvik Halden,Flint,-,-
26.07. 13:00,Drobak-Frogn,Orn,-,-
27.07. 13:00,Odd 2,Oppsal,-,-
27.07. 15:00,Stabaek 2,Ready,-,-
28.07. 17:00,Sarpsborg 08 2,Pors 2,-,-
28.07. 17:30,Fredrikstad 2,Lokomotiv Oslo,-,-
02.08. 12:00,Lokomotiv Oslo,Grei,-,-
02.08. 13:00,Fram,Kvik Halden,-,-
02.08. 13:00,Pors 2,Drobak-Frogn,-,-
03.08. 12:00,Oppsal,Stabaek 2,-,-
03.08. 12:00,Orn,Odd 2,-,-
04.08. 17:00,Ready,Sarpsborg 08 2,-,-
04.08. 18:00,Flint,Fredrikstad 2,-,-
09.08. 12:00,Grei,Ready,-,-
09.08. 12:00,Kvik Halden,Pors 2,-,-
