date,home,away,home_score,away_score
01.06. 17:15,Molde,Viking,0,1
01.06. 15:00,Brann,Kristiansund,4,2
01.06. 15:00,Bryne,Sandefjord,3,2
01.06. 15:00,Haugesund,Bodo/Glimt,0,4
01.06. 15:00,Rosenborg,KFUM Oslo,1,1
01.06. 12:30,Fredrikstad,Sarpsborg 08,1,1
31.05. 16:45,Tromso,Valerenga,2,1
31.05. 14:00,Stromsgodset,HamKam,0,3
29.05. 16:00,Brann,Molde,0,3
28.05. 19:00,Bodo/Glimt,Viking,2,4
28.05. 17:00,Fredrikstad,Rosenborg,0,2
26.05. 17:00,KFUM Oslo,Valerenga,0,1
25.05. 17:15,Haugesund,Brann,0,2
25.05. 15:00,Kristiansund,Viking,0,1
25.05. 15:00,Sandefjord,Stromsgodset,3,2
25.05. 15:00,Sarpsborg 08,Tromso,0,1
25.05. 12:30,HamKam,Molde,2,1
24.05. 16:00,Bodo/Glimt,Rosenborg,4,0
24.05. 14:00,Bryne,Fredrikstad,4,3
16.05. 18:00,Valerenga,HamKam,1,1
16.05. 16:00,Brann,Sarpsborg 08,2,2
16.05. 16:00,Fredrikstad,KFUM Oslo,1,0
16.05. 16:00,Molde,Kristiansund,0,1
16.05. 16:00,Rosenborg,Haugesund,1,0
16.05. 16:00,Stromsgodset,Bryne,0,2
16.05. 16:00,Tromso,Bodo/Glimt,2,1
16.05. 16:00,Viking,Sandefjord,3,1
11.05. 17:15,Haugesund,Viking,1,4
11.05. 15:00,Bryne,Molde,0,3
11.05. 15:00,KFUM Oslo,Tromso,1,3
11.05. 15:00,Kristiansund,Fredrikstad,0,1
11.05. 15:00,Sandefjord,Valerenga,2,1
11.05. 15:00,Sarpsborg 08,HamKam,4,0
11.05. 12:30,Brann,Rosenborg,0,0
04.05. 17:15,Rosenborg,Bryne,3,0
04.05. 15:00,Molde,Haugesund,2,1
04.05. 15:00,Stromsgodset,Kristiansund,1,2
04.05. 15:00,Tromso,Sandefjord,0,1
04.05. 15:00,Viking,Sarpsborg 08,0,0
03.05. 16:00,Valerenga,Brann,2,4
02.05. 17:00,HamKam,KFUM Oslo,0,0
01.05. 16:00,Rosenborg,Kristiansund,1,1
30.04. 16:00,Viking,Haugesund,5,1
27.04. 17:15,Viking,Tromso,4,4
27.04. 15:15,Sarpsborg 08,Stromsgodset,2,3
27.04. 15:00,Bodo/Glimt,KFUM Oslo,3,0
27.04. 15:00,Brann,Bryne,3,2
27.04. 15:00,Haugesund,Fredrikstad,0,0
27.04. 15:00,Kristiansund,Valerenga,0,2
27.04. 15:00,Sandefjord,HamKam,2,0
27.04. 12:30,Rosenborg,Molde,0,0
21.04. 17:15,Molde,Bodo/Glimt,2,2
21.04. 15:00,Bryne,Haugesund,3,1
21.04. 15:00,Fredrikstad,Sandefjord,3,1
21.04. 15:00,HamKam,Viking,2,5
21.04. 15:00,KFUM Oslo,Sarpsborg 08,1,3
21.04. 15:00,Stromsgodset,Brann,1,2
21.04. 12:30,Valerenga,Rosenborg,0,2
20.04. 12:30,Tromso,Kristiansund,2,3
10.04. 17:00,Brann,Stromsgodset,2,1
10.04. 17:00,Viking,Kristiansund,3,1
09.04. 17:00,Fredrikstad,Valerenga,2,0
06.04. 17:15,Viking,KFUM Oslo,3,1
06.04. 15:00,Haugesund,Stromsgodset,0,5
06.04. 15:00,Kristiansund,Bryne,2,1
06.04. 15:00,Sandefjord,Molde,3,0
06.04. 15:00,Sarpsborg 08,Valerenga,1,1
06.04. 12:30,Brann,Tromso,3,1
05.04. 16:00,Rosenborg,Fredrikstad,1,0
05.04. 14:00,Bodo/Glimt,HamKam,3,0
30.03. 17:15,Bryne,Bodo/Glimt,0,1
30.03. 15:00,HamKam,Kristiansund,2,1
30.03. 15:00,KFUM Oslo,Sandefjord,3,1
30.03. 15:00,Molde,Sarpsborg 08,0,2
30.03. 15:00,Tromso,Haugesund,1,0
30.03. 12:30,Valerenga,Viking,3,1
29.03. 17:00,Fredrikstad,Brann,3,0
29.03. 15:00,Stromsgodset,Rosenborg,1,2
