date,home,away,home_score,away_score
21.06. 16:00,Bodo/Glimt,Brann,-,-
22.06. 12:30,Valerenga,Molde,-,-
22.06. 15:00,HamKam,Tromso,-,-
22.06. 15:00,KFUM Oslo,Stromsgodset,-,-
22.06. 15:00,Kristiansund,Rosenborg,-,-
22.06. 15:00,Sandefjord,Haugesund,-,-
22.06. 15:00,Sarpsborg 08,Bryne,-,-
22.06. 17:15,Viking,Fredrikstad,-,-
28.06. 16:00,Rosenborg,Viking,-,-
29.06. 12:30,Haugesund,Kristiansund,-,-
29.06. 15:00,Bodo/Glimt,Sarpsborg 08,-,-
29.06. 15:00,Bryne,HamKam,-,-
29.06. 15:00,Fredrikstad,Tromso,-,-
29.06. 15:00,Molde,KFUM Oslo,-,-
29.06. 17:15,Stromsgodset,Valerenga,-,-
30.06. 17:00,Brann,Sandefjord,-,-
05.07. 12:00,HamKam,Brann,-,-
05.07. 14:00,Viking,Stromsgodset,-,-
05.07. 16:00,Valerenga,Fredrikstad,-,-
05.07. 18:00,Kristiansund,Bodo/Glimt,-,-
05.07. 20:00,Tromso,Molde,-,-
06.07. 12:30,KFUM Oslo,Bryne,-,-
06.07. 12:30,Sandefjord,Rosenborg,-,-
06.07. 12:30,Sarpsborg 08,Haugesund,-,-
12.07. 14:00,Bodo/Glimt,Sandefjord,-,-
12.07. 16:00,Fredrikstad,Molde,-,-
13.07. 12:30,Bryne,Valerenga,-,-
13.07. 15:00,Haugesund,KFUM Oslo,-,-
13.07. 15:00,Kristiansund,Sarpsborg 08,-,-
13.07. 15:00,Rosenborg,HamKam,-,-
13.07. 15:00,Stromsgodset,Tromso,-,-
13.07. 17:15,Brann,Viking,-,-
16.07. 16:00,Fredrikstad,Bodo/Glimt,-,-
18.07. 16:00,Sarpsborg 08,Rosenborg,-,-
19.07. 12:00,KFUM Oslo,Brann,-,-
19.07. 14:00,Molde,Stromsgodset,-,-
19.07. 16:00,Viking,Bodo/Glimt,-,-
20.07. 12:30,Valerenga,Haugesund,-,-
20.07. 15:00,Sandefjord,Kristiansund,-,-
20.07. 15:00,Tromso,Bryne,-,-
20.07. 17:15,HamKam,Fredrikstad,-,-
25.07. 17:00,Fredrikstad,Stromsgodset,-,-
26.07. 14:00,Haugesund,HamKam,-,-
26.07. 14:00,Kristiansund,KFUM Oslo,-,-
26.07. 14:00,Sandefjord,Sarpsborg 08,-,-
26.07. 16:00,Bodo/Glimt,Valerenga,-,-
27.07. 12:30,Bryne,Viking,-,-
27.07. 12:30,Rosenborg,Tromso,-,-
30.07. 17:00,Bodo/Glimt,Stromsgodset,-,-
03.08. 15:00,HamKam,Bodo/Glimt,-,-
03.08. 15:00,KFUM Oslo,Rosenborg,-,-
03.08. 15:00,Molde,Bryne,-,-
03.08. 15:00,Sarpsborg 08,Brann,-,-
03.08. 15:00,Stromsgodset,Haugesund,-,-
03.08. 15:00,Tromso,Fredrikstad,-,-
03.08. 15:00,Valerenga,Sandefjord,-,-
10.08. 15:00,Bodo/Glimt,Tromso,-,-
10.08. 15:00,Bryne,KFUM Oslo,-,-
10.08. 15:00,Haugesund,Sarpsborg 08,-,-
10.08. 15:00,Molde,HamKam,-,-
10.08. 15:00,Sandefjord,Viking,-,-
17.08. 15:00,HamKam,Bryne,-,-
17.08. 15:00,KFUM Oslo,Molde,-,-
17.08. 15:00,Kristiansund,Sandefjord,-,-
17.08. 15:00,Stromsgodset,Bodo/Glimt,-,-
17.08. 15:00,Tromso,Brann,-,-
17.08. 15:00,Valerenga,Sarpsborg 08,-,-
24.08. 15:00,Brann,Fredrikstad,-,-
24.08. 15:00,Bryne,Stromsgodset,-,-
24.08. 15:00,Haugesund,Valerenga,-,-
24.08. 15:00,KFUM Oslo,HamKam,-,-
24.08. 15:00,Molde,Tromso,-,-
24.08. 15:00,Rosenborg,Sandefjord,-,-
24.08. 15:00,Sarpsborg 08,Kristiansund,-,-
31.08. 15:00,Fredrikstad,Haugesund,-,-
31.08. 15:00,HamKam,Sarpsborg 08,-,-
31.08. 15:00,Kristiansund,Brann,-,-
31.08. 15:00,Sandefjord,Bodo/Glimt,-,-
31.08. 15:00,Stromsgodset,Molde,-,-
31.08. 15:00,Tromso,KFUM Oslo,-,-
31.08. 15:00,Valerenga,Bryne,-,-
31.08. 15:00,Viking,Rosenborg,-,-
14.09. 15:00,Bodo/Glimt,Kristiansund,-,-
14.09. 15:00,Brann,Valerenga,-,-
14.09. 15:00,Bryne,Tromso,-,-
14.09. 15:00,HamKam,Stromsgodset,-,-
14.09. 15:00,Haugesund,Rosenborg,-,-
14.09. 15:00,KFUM Oslo,Viking,-,-
14.09. 15:00,Molde,Fredrikstad,-,-
14.09. 15:00,Sarpsborg 08,Sandefjord,-,-
21.09. 15:00,Fredrikstad,Bryne,-,-
21.09. 15:00,Kristiansund,Haugesund,-,-
21.09. 15:00,Rosenborg,Bodo/Glimt,-,-
21.09. 15:00,Sandefjord,Brann,-,-
21.09. 15:00,Stromsgodset,Sarpsborg 08,-,-
21.09. 15:00,Tromso,HamKam,-,-
21.09. 15:00,Valerenga,KFUM Oslo,-,-
21.09. 15:00,Viking,Molde,-,-
28.09. 15:00,Brann,Bodo/Glimt,-,-
28.09. 15:00,Bryne,Kristiansund,-,-
28.09. 15:00,HamKam,Rosenborg,-,-
28.09. 15:00,Haugesund,Sandefjord,-,-
28.09. 15:00,KFUM Oslo,Fredrikstad,-,-
28.09. 15:00,Molde,Valerenga,-,-
28.09. 15:00,Sarpsborg 08,Viking,-,-
28.09. 15:00,Tromso,Stromsgodset,-,-
05.10. 15:00,Bodo/Glimt,Haugesund,-,-
05.10. 15:00,Fredrikstad,HamKam,-,-
05.10. 15:00,Kristiansund,Molde,-,-
05.10. 15:00,Rosenborg,Sarpsborg 08,-,-
05.10. 15:00,Sandefjord,Bryne,-,-
05.10. 15:00,Stromsgodset,KFUM Oslo,-,-
05.10. 15:00,Valerenga,Tromso,-,-
05.10. 15:00,Viking,Brann,-,-
