date,home,away,home_score,away_score
21.05. 17:00Pen,Lillestrom,Fredrikstad,2,1
21.05. 17:00AET,Molde,Kristiansund,3,4
20.05. 18:00AET,Kongsvinger,Rosenborg,2,3
20.05. 16:00Pen,Aalesund,HamKam,3,2
20.05. 16:00,Asane,Viking,0,7
20.05. 16:00,Bryne,KFUM Oslo,0,2
20.05. 16:00,Egersund,Sarpsborg 08,1,3
20.05. 16:00,Stabaek,Mjondalen,4,3
12.05. 17:00,Aalesund,Bodo/Glimt,1,0
08.05. 16:00,Tromso,KFUM Oslo,0,1
07.05. 17:05,Moss,Viking,0,1
07.05. 17:00Pen,Ranheim,Egersund,2,3
07.05. 17:00Pen,Sogndal,Kongsvinger,3,4
07.05. 16:00,Alta,Kristiansund,0,4
07.05. 16:00AET,Bryne,Brann,2,1
07.05. 16:00AET,Grorud,Lillestrom,2,3
07.05. 16:00,Lyn,HamKam,0,2
07.05. 16:00,OS TF,Asane,1,4
07.05. 16:00,Pors,Fredrikstad,1,3
07.05. 16:00,Rana FK,Molde,0,4
07.05. 16:00,Sarpsborg 08,Sandefjord,3,1
07.05. 16:00,Stabaek,Haugesund,2,1
07.05. 16:00,Strommen,Mjondalen,1,3
07.05. 16:00,Tromsdalen,Rosenborg,0,5
24.04. 17:05Pen,Mjondalen,Stromsgodset,2,1
24.04. 16:30,Eidsvold TF,Lillestrom,0,2
24.04. 16:00,Alta,Skeid,3,0
24.04. 16:00,Bjarg,Brann,0,2
24.04. 16:00,Elverum,Kongsvinger,2,7
24.04. 16:00,Flekkeroy,Viking,0,3
24.04. 16:00,Flint,Fredrikstad,0,5
24.04. 16:00,Follo,Moss,2,3
24.04. 16:00,Fram,Stabaek,0,4
24.04. 16:00,Gamle Oslo,Sarpsborg 08,1,6
24.04. 16:00,Jerv,Egersund,0,1
24.04. 16:00,Junkeren,Bodo/Glimt,1,5
24.04. 16:00,Kjelsas,Lyn,0,3
24.04. 16:00,Lorenskog,HamKam,0,1
24.04. 16:00,Nardo,Kristiansund,1,4
24.04. 16:00,Orn,Sandefjord,0,2
24.04. 16:00AET,OS TF,Lysekloster,5,4
24.04. 16:00AET,Pors,Start,3,2
24.04. 16:00,Ready,KFUM Oslo,0,3
24.04. 16:00,Sandviken,Sogndal,0,4
24.04. 16:00,Sortland,Tromsdalen,0,5
24.04. 16:00,Sotra,Asane,0,2
24.04. 16:00,Stjordals Blink,Ranheim,1,2
24.04. 16:00,Strindheim,Rosenborg,0,3
24.04. 16:00,Strommen,Raufoss,2,1
24.04. 16:00,Torvastad,Bryne,1,2
24.04. 16:00Pen,Traeff,Molde,1,2
24.04. 16:00,Ull/Kisa,Aalesund,2,3
24.04. 16:00,Vidar,Haugesund,1,2
24.04. 15:30,Grorud,Hodd,3,1
24.04. 15:00,Levanger,Rana FK,1,2
23.04. 16:00,Skjervoy,Tromso,0,1
13.04. 16:00,Skedsmo,Eidsvold TF,0,5
13.04. 15:00,Kvik Halden,Moss,1,3
13.04. 14:00,Brodd,Flekkeroy,1,3
13.04. 14:00AET,Byasen,Nardo,3,5
13.04. 14:00,Eiger,Egersund,1,7
13.04. 14:00,Elnesvagen,Molde,0,7
13.04. 14:00,Fjora,Bjarg,1,3
13.04. 14:00,FK Kvik,Stjordals Blink,0,1
13.04. 14:00,Fram,Eik-Tonsberg,4,1
13.04. 14:00Pen,Gamle Oslo,Valerenga,2,1
13.04. 14:00,Grei,KFUM Oslo,1,5
13.04. 14:00,Hamna,Tromso,0,10
13.04. 14:00,Hana,Viking,0,6
13.04. 14:00,Honefoss,Pors,0,1
13.04. 14:00,Konnerud,Stromsgodset,0,5
13.04. 14:00,Melbo,Sortland,0,1
13.04. 14:00,Melhus,Kristiansund,1,5
13.04. 14:00,Mosjoen,Rana FK,0,4
13.04. 14:00,Nord,Haugesund,0,11
13.04. 14:00,Notodden,Stabaek,0,3
13.04. 14:00,Rade,Lyn,1,2
13.04. 14:00Pen,Ready,Asker,4,3
13.04. 14:00,Ridabu,Kongsvinger,0,12
13.04. 14:00,Rindal,Rosenborg,1,11
13.04. 14:00,Skjervoy,Floya,2,1
13.04. 14:00,Skjetten,Lillestrom,0,5
13.04. 14:00,Sprint-Jeloy,Sarpsborg 08,0,4
13.04. 14:00,Sverresborg IF,Ranheim,2,4
13.04. 14:00,Teie,Sandefjord,0,5
13.04. 14:00,Trygg/Lade,Strindheim,0,1
13.04. 14:00,Ullern,Follo,2,5
13.04. 14:00,Varegg,Brann,0,6
13.04. 14:00,Varhaug,Bryne,0,4
13.04. 14:00,Verdal,Levanger,0,8
13.04. 14:00,Vidar,Sandnes,2,0
13.04. 13:00,Bjorkelangen,Strommen,1,6
13.04. 13:00,Ulfstind,Tromsdalen,0,3
13.04. 12:00Pen,Brattvag,Hodd,1,2
13.04. 12:00,Flint,Odd,3,2
12.04. 15:00,Union Carl Berner,Skeid,0,3
12.04. 14:00,Frigg,Lorenskog,1,3
12.04. 14:00,Junkeren,Harstad,2,1
12.04. 14:00AET,NHHI,Sandviken,1,3
12.04. 14:00,Rollon,Aalesund,0,3
12.04. 14:00,Sarpsborg FK,Fredrikstad,0,4
12.04. 14:00,Spjelkavik,Traeff,0,2
12.04. 14:00,Volda TI,Sogndal,1,2
12.04. 13:00AET,Assiden,Mjondalen,1,4
12.04. 13:00,Brumunddal,Raufoss,1,4
12.04. 13:00,Elverum,SK Gjovik-Lyn,2,0
12.04. 13:00,Lillehammer,HamKam,0,2
12.04. 13:00,Vindbjart,Jerv,0,3
12.04. 12:00,Askoy,Asane,1,5
12.04. 12:00Pen,Baerum Sportsklubb,Grorud,3,4
12.04. 12:00,Bjornevatn,Alta,0,11
12.04. 12:00AET,Djerv 1919,Sotra,2,3
12.04. 12:00,Gneist,Lysekloster,0,2
12.04. 12:00,Oppsal,Kjelsas,0,1
12.04. 12:00Pen,Orn,Arendal,2,1
12.04. 12:00,Torvastad,V. Haugesund,2,0
12.04. 11:00Pen,Nordstrand,Ull/Kisa,3,4
12.04. 11:00,Vag,Start,2,4
11.04. 16:30,OS TF,Fana,4,2
26.03. 17:00,Innstrandens,Bodo/Glimt,0,8
