date,home,away,home_score,away_score
31.05. 14:00,Lillestrom,Egersund,1,0
31.05. 14:00,Moss,Start,0,3
31.05. 14:00,Odd,Asane,1,0
31.05. 14:00,Ranheim,Aalesund,2,1
31.05. 14:00,Sogndal,Raufoss,2,2
31.05. 14:00,Stabaek,Kongsvinger,2,2
30.05. 17:00,Skeid,Hodd,1,1
29.05. 17:00,Lyn,Mjondalen,1,3
25.05. 15:00,Asane,Ranheim,2,1
25.05. 15:00,Egersund,Sogndal,0,2
25.05. 15:00,Hodd,Odd,3,1
24.05. 14:00,Aalesund,Start,1,1
24.05. 14:00,Kongsvinger,Lyn,2,1
24.05. 14:00,Mjondalen,Lillestrom,0,6
24.05. 14:00,Moss,Skeid,2,1
24.05. 14:00,Raufoss,Stabaek,1,0
16.05. 16:00,Aalesund,Hodd,2,0
16.05. 16:00,Lillestrom,Kongsvinger,2,0
16.05. 16:00,Lyn,Skeid,1,1
16.05. 16:00,Odd,Moss,2,0
16.05. 16:00,Sogndal,Asane,2,0
16.05. 16:00,Stabaek,Mjondalen,4,0
16.05. 16:00,Start,Egersund,2,1
15.05. 17:00,Ranheim,Raufoss,1,1
12.05. 17:00,Asane,Stabaek,1,1
12.05. 17:00,Kongsvinger,Odd,1,3
12.05. 17:00,Skeid,Lillestrom,1,1
11.05. 15:00,Hodd,Sogndal,2,1
11.05. 15:00,Mjondalen,Ranheim,1,4
11.05. 15:00,Moss,Lyn,2,0
11.05. 15:00,Raufoss,Start,0,0
04.05. 15:00,Lyn,Hodd,0,1
04.05. 12:30,Stabaek,Skeid,1,0
03.05. 14:00,Aalesund,Raufoss,3,1
03.05. 14:00,Lillestrom,Moss,3,0
03.05. 14:00,Odd,Egersund,1,1
03.05. 14:00,Ranheim,Kongsvinger,2,1
03.05. 14:00,Sogndal,Mjondalen,1,0
03.05. 14:00,Start,Asane,2,3
29.04. 17:00,Hodd,Ranheim,0,1
28.04. 17:00,Asane,Aalesund,0,0
28.04. 17:00,Mjondalen,Start,2,3
28.04. 17:00,Raufoss,Egersund,0,1
28.04. 17:00,Skeid,Kongsvinger,1,4
28.04. 17:00,Sogndal,Odd,3,2
27.04. 15:00,Lyn,Lillestrom,0,1
27.04. 15:00,Moss,Stabaek,4,2
21.04. 15:00,Aalesund,Mjondalen,0,0
21.04. 15:00,Egersund,Skeid,4,3
21.04. 15:00,Kongsvinger,Moss,6,0
21.04. 15:00,Odd,Lyn,2,1
21.04. 15:00,Ranheim,Sogndal,1,2
21.04. 15:00,Raufoss,Asane,3,2
21.04. 15:00,Stabaek,Lillestrom,0,3
21.04. 15:00,Start,Hodd,1,2
06.04. 15:00,Lyn,Stabaek,0,1
05.04. 14:00,Asane,Egersund,0,2
05.04. 14:00,Hodd,Kongsvinger,0,2
05.04. 14:00,Lillestrom,Odd,1,0
05.04. 14:00,Mjondalen,Raufoss,1,1
05.04. 14:00,Moss,Ranheim,2,0
05.04. 14:00,Skeid,Start,1,3
05.04. 14:00,Sogndal,Aalesund,3,4
01.04. 17:00,Raufoss,Moss,3,2
31.03. 17:00,Aalesund,Lillestrom,2,2
31.03. 17:00,Egersund,Mjondalen,3,2
31.03. 17:00,Kongsvinger,Asane,1,1
31.03. 17:00,Odd,Skeid,2,1
31.03. 17:00,Ranheim,Lyn,0,3
31.03. 17:00,Stabaek,Hodd,1,1
31.03. 17:00,Start,Sogndal,2,1
