date,home,away
05.04. 14:00,Stromsgodset,Stabaek
06.04. 12:30,Asane,Moss
06.04. 12:30,Egersund,Raufoss
06.04. 12:30,Kongsvinger,Bryne
06.04. 12:30,Lyn,Haugesund
06.04. 12:30,Odd,Sogndal
06.04. 12:30,Ranheim,Strommen
07.04. 17:00,Hodd,Sandnes
11.04. 12:00,Haugesund,Stromsgodset
11.04. 12:00,Sandnes,Odd
11.04. 12:00,Sogndal,Lyn
11.04. 12:00,Strommen,Egersund
12.04. 15:00,Bryne,Ranheim
12.04. 15:00,Moss,Hodd
12.04. 15:00,Stabaek,Asane
13.04. 17:00,Raufoss,Kongsvinger
17.04. 17:00,Ranheim,Raufoss
18.04. 12:00,Hodd,Haugesund
18.04. 12:00,Kongsvinger,Moss
18.04. 12:00,Stromsgodset,Sogndal
19.04. 15:00,Asane,Strommen
19.04. 15:00,Egersund,Bryne
19.04. 15:00,Odd,Stabaek
20.04. 17:00,Lyn,Sandnes
25.04. 12:00,Strommen,Kongsvinger
25.04. 14:00,Sogndal,Asane
25.04. 18:00,Bryne,Odd
26.04. 15:00,Moss,Lyn
26.04. 15:00,Raufoss,Hodd
26.04. 15:00,Sandnes,Stromsgodset
26.04. 15:00,Stabaek,Haugesund
27.04. 17:00,Egersund,Ranheim
01.05. 14:00,Bryne,Sogndal
01.05. 14:00,Haugesund,Sandnes
01.05. 14:00,Hodd,Asane
01.05. 14:00,Kongsvinger,Egersund
01.05. 14:00,Lyn,Stabaek
01.05. 14:00,Odd,Raufoss
01.05. 14:00,Stromsgodset,Strommen
01.05. 18:00,Ranheim,Moss
08.05. 17:00,Ranheim,Kongsvinger
10.05. 15:00,Asane,Stromsgodset
10.05. 15:00,Moss,Bryne
10.05. 15:00,Raufoss,Lyn
10.05. 15:00,Sandnes,Stabaek
10.05. 15:00,Sogndal,Haugesund
10.05. 15:00,Strommen,Hodd
11.05. 17:00,Egersund,Odd
15.05. 16:00,Sandnes,Egersund
16.05. 14:00,Bryne,Strommen
16.05. 14:00,Haugesund,Asane
16.05. 14:00,Hodd,Sogndal
16.05. 14:00,Lyn,Kongsvinger
16.05. 14:00,Odd,Moss
16.05. 14:00,Stabaek,Raufoss
16.05. 14:00,Stromsgodset,Ranheim
20.05. 17:00,Asane,Sandnes
20.05. 17:00,Egersund,Lyn
20.05. 17:00,Kongsvinger,Odd
20.05. 17:00,Moss,Stromsgodset
20.05. 17:00,Ranheim,Hodd
20.05. 17:00,Raufoss,Bryne
20.05. 17:00,Sogndal,Stabaek
20.05. 17:00,Strommen,Haugesund
25.05. 17:00,Asane,Raufoss
25.05. 17:00,Haugesund,Moss
25.05. 17:00,Hodd,Egersund
25.05. 17:00,Lyn,Strommen
25.05. 17:00,Odd,Ranheim
25.05. 17:00,Sandnes,Sogndal
25.05. 17:00,Stabaek,Kongsvinger
25.05. 17:00,Stromsgodset,Bryne
31.05. 15:00,Bryne,Hodd
31.05. 15:00,Egersund,Stromsgodset
31.05. 15:00,Kongsvinger,Asane
31.05. 15:00,Moss,Stabaek
31.05. 15:00,Odd,Lyn
31.05. 15:00,Ranheim,Sandnes
31.05. 15:00,Raufoss,Haugesund
31.05. 15:00,Strommen,Sogndal
14.06. 15:00,Asane,Odd
14.06. 15:00,Haugesund,Ranheim
14.06. 15:00,Hodd,Kongsvinger
14.06. 15:00,Lyn,Bryne
14.06. 15:00,Sandnes,Strommen
14.06. 15:00,Sogndal,Moss
14.06. 15:00,Stabaek,Egersund
14.06. 15:00,Stromsgodset,Raufoss
21.06. 15:00,Bryne,Asane
21.06. 15:00,Egersund,Haugesund
21.06. 15:00,Kongsvinger,Stromsgodset
21.06. 15:00,Moss,Sandnes
21.06. 15:00,Odd,Hodd
21.06. 15:00,Ranheim,Lyn
21.06. 15:00,Raufoss,Sogndal
21.06. 15:00,Strommen,Stabaek
28.06. 15:00,Asane,Ranheim
28.06. 15:00,Haugesund,Kongsvinger
28.06. 15:00,Lyn,Hodd
28.06. 15:00,Sandnes,Raufoss
28.06. 15:00,Sogndal,Egersund
28.06. 15:00,Stabaek,Bryne
28.06. 15:00,Strommen,Moss
28.06. 15:00,Stromsgodset,Odd
03.07. 17:00,Bryne,Sandnes
03.07. 17:00,Egersund,Moss
03.07. 17:00,Hodd,Stromsgodset
03.07. 17:00,Kongsvinger,Sogndal
03.07. 17:00,Lyn,Asane
03.07. 17:00,Odd,Haugesund
03.07. 17:00,Ranheim,Stabaek
03.07. 17:00,Raufoss,Strommen
