date,home,away,home_score,away_score
04.03. 20:00,Real Sociedad,Ath Bilbao,1,0
03.03. 20:00,Barcelona,Atl. Madrid,3,0
12.02. 20:00,Atl. Madrid,Barcelona,4,0
11.02. 20:00,Ath Bilbao,Real Sociedad,0,1
05.02. 20:00,Betis,Atl. Madrid,0,5
04.02. 20:00,Alaves,Real Sociedad,2,3
04.02. 20:00,Valencia,Ath Bilbao,1,2
03.02. 20:00,Albacete,Barcelona,1,2
15.01. 20:00,Burgos CF,Valencia,0,2
15.01. 20:00,Racing Santander,Barcelona,0,2
14.01. 20:00,Alaves,Rayo Vallecano,2,0
14.01. 20:00,Albacete,Real Madrid,3,2
14.01. 20:00,Betis,Elche,2,1
13.01. 20:00AET,Cultural Leonesa,Ath Bilbao,3,4
13.01. 20:00,Dep. La Coruna,Atl. Madrid,0,1
13.01. 20:00Pen,Real Sociedad,Osasuna,3,2
06.01. 18:00,Granada CF,Rayo Vallecano,1,3
18.12. 20:00,Murcia,Betis,0,2
18.12. 18:00,Burgos CF,Getafe,3,1
18.12. 18:00AET,Ourense CF,Ath Bilbao,0,1
17.12. 20:00,Alaves,Sevilla,1,0
17.12. 20:00,CF Talavera,Real Madrid,2,3
17.12. 18:00Pen,Albacete,Celta Vigo,3,2
17.12. 18:00,Baleares,Atl. Madrid,2,3
17.12. 18:00AET,Huesca,Osasuna,2,4
17.12. 18:00,Racing Santander,Villarreal,2,1
17.12. 17:00,Cultural Leonesa,Levante,1,0
16.12. 20:00,Eldense,Real Sociedad,1,2
16.12. 20:00,Gijon,Valencia,0,2
16.12. 20:00,Guadalajara,Barcelona,0,2
16.12. 18:00,Dep. La Coruna,Mallorca,1,0
16.12. 18:00,Eibar,Elche,0,1
04.12. 21:00,Tenerife,Granada CF,0,1
04.12. 20:00,CD Extremadura,Sevilla,1,2
04.12. 20:00AET,FC Cartagena SAD,Valencia,1,2
04.12. 20:00Pen,Sant Andreu,Celta Vigo,1,2
04.12. 20:00AET,Zaragoza,Burgos CF,0,1
04.12. 19:00AET,Ponferradina,Racing Santander,1,2
04.12. 18:00,Baleares,Espanyol,1,0
04.12. 18:00,Leganes,Albacete,1,2
04.12. 18:00AET,Real Avila,Rayo Vallecano,1,2
04.12. 18:00,Sabadell,Dep. La Coruna,0,2
03.12. 20:00Pen,Antoniano,Villarreal,1,2
03.12. 20:00,Ciudad Cieza,Levante,0,1
03.12. 20:00,Ourense CF,Girona,2,1
03.12. 20:00,Pontevedra,Eibar,0,3
03.12. 20:00AET,Quintanar del Rey,Elche,1,2
03.12. 20:00,Reus FCR,Real Sociedad,0,2
03.12. 20:00,Torrent,Betis,1,4
03.12. 19:00,CF Talavera,Malaga,2,1
03.12. 19:00,Cultural Leonesa,Andorra,4,2
03.12. 19:00,Eldense,Almeria,2,1
03.12. 19:00,Mirandes,Gijon,0,2
03.12. 19:00,Murcia,Cadiz CF,3,2
02.12. 20:00AET,Navalcarnero,Getafe,2,3
02.12. 19:00,Guadalajara,Ceuta,1,0
02.12. 18:00,Ebro,Osasuna,3,5
02.12. 18:00,Numancia,Mallorca,2,3
02.12. 18:00,Portugalete,Alaves,0,3
02.12. 18:00,Racing Club Ferrol,Huesca,0,2
30.10. 20:00,Antoniano,Castellon,1,0
30.10. 20:00,Atletic Lleida,Espanyol,1,2
30.10. 20:00,CD Estepona,Malaga,1,3
30.10. 20:00Pen,Murcia,Antequera,2,1
30.10. 20:00,Palma del Rio,Betis,1,7
30.10. 20:00,UD Samano,Dep. La Coruna,1,5
30.10. 19:00,Baleares,Gimnastic,2,0
30.10. 19:00,Deportivo Getxo,Alaves,0,7
30.10. 19:00AET,Real Avila,Real Aviles,1,0
30.10. 19:00,UD Logrones,Ponferradina,1,3
30.10. 18:30,Valle Egues,Andorra,1,5
30.10. 18:00,Orihuela,Levante,3,4
30.10. 18:00,Puerto de Vega,Celta Vigo,0,2
29.10. 20:00,CD Yuncos,Rayo Vallecano,1,6
