date,home,away,home_score,away_score
14.03. 20:00,Real Madrid,Elche,4,1
14.03. 17:30,Oviedo,Valencia,1,0
14.03. 15:15,Atl. Madrid,Getafe,1,0
14.03. 13:00,Girona,Ath Bilbao,3,0
13.03. 20:00,Alaves,Villarreal,1,1
09.03. 20:00,Espanyol,Oviedo,1,1
08.03. 20:00,Valencia,Alaves,3,2
08.03. 17:30,Sevilla,Rayo Vallecano,1,1
08.03. 15:15,Getafe,Betis,2,0
08.03. 13:00,Villarreal,Elche,2,1
07.03. 20:00,Ath Bilbao,Barcelona,0,1
07.03. 17:30,Atl. Madrid,Real Sociedad,3,2
07.03. 15:15,Levante,Girona,1,1
07.03. 13:00,Osasuna,Mallorca,2,2
06.03. 20:00,Celta Vigo,Real Madrid,1,2
04.03. 18:00,Rayo Vallecano,Oviedo,3,0
02.03. 20:00,Real Madrid,Getafe,0,1
01.03. 20:00,Girona,Celta Vigo,1,2
01.03. 17:30,Betis,Sevilla,2,2
01.03. 15:15,Valencia,Osasuna,1,0
01.03. 13:00,Elche,Espanyol,2,2
28.02. 20:00,Oviedo,Atl. Madrid,0,1
28.02. 17:30,Mallorca,Real Sociedad,0,1
28.02. 15:15,Barcelona,Villarreal,4,1
28.02. 13:00,Rayo Vallecano,Ath Bilbao,1,1
27.02. 20:00,Levante,Alaves,2,0
23.02. 20:00,Alaves,Girona,2,2
22.02. 20:00,Villarreal,Valencia,2,1
22.02. 17:30,Celta Vigo,Mallorca,2,0
22.02. 15:15,Barcelona,Levante,3,0
22.02. 13:00,Getafe,Sevilla,0,1
21.02. 20:00,Atl. Madrid,Espanyol,4,2
21.02. 17:30,Osasuna,Real Madrid,2,1
21.02. 15:15,Betis,Rayo Vallecano,1,1
21.02. 13:00,Real Sociedad,Oviedo,3,3
20.02. 20:00,Ath Bilbao,Elche,2,1
18.02. 19:00,Levante,Villarreal,0,1
16.02. 20:00,Girona,Barcelona,2,1
15.02. 20:00,Mallorca,Betis,1,2
15.02. 17:30,Levante,Valencia,0,2
15.02. 15:15,Rayo Vallecano,Atl. Madrid,3,0
15.02. 13:00,Oviedo,Ath Bilbao,1,2
14.02. 20:00,Real Madrid,Real Sociedad,4,1
14.02. 17:30,Sevilla,Alaves,1,1
14.02. 15:15,Getafe,Villarreal,2,1
14.02. 13:00,Espanyol,Celta Vigo,2,2
13.02. 20:00,Elche,Osasuna,0,0
09.02. 20:00,Villarreal,Espanyol,4,1
08.02. 20:00,Valencia,Real Madrid,0,2
08.02. 17:30,Atl. Madrid,Betis,0,1
08.02. 15:15,Ath Bilbao,Levante,4,2
08.02. 15:15,Sevilla,Girona,1,1
08.02. 13:00,Alaves,Getafe,0,2
07.02. 20:00,Real Sociedad,Elche,3,1
07.02. 15:15,Barcelona,Mallorca,3,0
06.02. 20:00,Celta Vigo,Osasuna,1,2
02.02. 20:00,Mallorca,Sevilla,4,1
01.02. 20:00,Ath Bilbao,Real Sociedad,1,1
01.02. 17:30,Getafe,Celta Vigo,0,0
01.02. 15:15,Betis,Valencia,2,1
01.02. 13:00,Real Madrid,Rayo Vallecano,2,1
31.01. 20:00,Elche,Barcelona,1,3
31.01. 17:30,Levante,Atl. Madrid,0,0
31.01. 15:15,Osasuna,Villarreal,2,2
31.01. 13:00,Oviedo,Girona,1,0
30.01. 20:00,Espanyol,Alaves,1,2
26.01. 20:00,Girona,Getafe,1,1
25.01. 20:00,Alaves,Betis,2,1
25.01. 17:30,Real Sociedad,Celta Vigo,3,1
25.01. 15:15,Barcelona,Oviedo,3,0
25.01. 13:00,Atl. Madrid,Mallorca,3,0
24.01. 20:00,Villarreal,Real Madrid,0,2
24.01. 17:30,Sevilla,Ath Bilbao,2,1
24.01. 15:15,Valencia,Espanyol,3,2
24.01. 13:00,Rayo Vallecano,Osasuna,1,3
23.01. 20:00,Levante,Elche,3,2
19.01. 20:00,Elche,Sevilla,2,2
18.01. 20:00,Real Sociedad,Barcelona,2,1
18.01. 17:30,Celta Vigo,Rayo Vallecano,3,0
18.01. 15:15,Atl. Madrid,Alaves,1,0
18.01. 13:00,Getafe,Valencia,0,1
17.01. 20:00,Betis,Villarreal,2,0
17.01. 17:30,Osasuna,Oviedo,3,2
17.01. 15:15,Mallorca,Ath Bilbao,3,2
17.01. 13:00,Real Madrid,Levante,2,0
16.01. 20:00,Espanyol,Girona,0,2
12.01. 20:00,Sevilla,Celta Vigo,0,1
11.01. 15:15,Levante,Espanyol,1,1
11.01. 13:00,Rayo Vallecano,Mallorca,2,1
10.01. 20:00,Valencia,Elche,1,1
10.01. 17:30,Girona,Osasuna,1,0
10.01. 15:15,Villarreal,Alaves,3,1
10.01. 13:00,Oviedo,Betis,1,1
09.01. 20:00,Getafe,Real Sociedad,1,2
04.01. 20:00,Real Sociedad,Atl. Madrid,1,1
04.01. 17:30,Alaves,Oviedo,1,1
04.01. 17:30,Mallorca,Girona,1,2
