date,home,away,home_score,away_score
08.03. 15:15,Andorra,Gijon,1,0
08.03. 13:00,Las Palmas,Ceuta,4,0
07.03. 20:00,Malaga,Valladolid,3,3
07.03. 17:30,Burgos CF,Mirandes,2,0
07.03. 15:15,Huesca,Albacete,0,0
07.03. 15:15,Real Sociedad B,Castellon,4,2
06.03. 19:30,Cadiz CF,Zaragoza,0,1
02.03. 19:30,Cordoba,Andorra,1,4
02.03. 19:00,Gijon,Leganes,0,0
01.03. 20:00,Eibar,Cadiz CF,3,1
01.03. 17:30,Cultural Leonesa,Las Palmas,0,3
01.03. 15:15,Mirandes,Ceuta,0,1
01.03. 13:00,Real Sociedad B,Dep. La Coruna,2,3
28.02. 20:00,Castellon,Racing Santander,1,3
28.02. 17:30,Granada CF,Malaga,0,1
28.02. 17:30,Valladolid,Huesca,1,0
28.02. 15:15,Zaragoza,Burgos CF,0,1
27.02. 19:30,Albacete,Almeria,1,1
25.02. 18:00,Ceuta,Cordoba,3,2
23.02. 19:30,Cadiz CF,Real Sociedad B,0,2
22.02. 20:00,Malaga,Albacete,1,0
22.02. 17:30,Racing Santander,Burgos CF,1,0
22.02. 15:15,Andorra,Zaragoza,2,1
22.02. 13:00,Gijon,Valladolid,2,2
21.02. 20:00,Las Palmas,Castellon,1,1
21.02. 17:30,Almeria,Cordoba,2,1
21.02. 15:15,Dep. La Coruna,Eibar,1,0
21.02. 15:15,Huesca,Mirandes,1,2
21.02. 13:00,Leganes,Cultural Leonesa,1,1
20.02. 19:30,Ceuta,Granada CF,2,1
16.02. 19:30,Real Sociedad B,Malaga,2,1
15.02. 20:00,Castellon,Dep. La Coruna,2,0
15.02. 17:30,Albacete,Gijon,1,1
15.02. 15:15,Eibar,Racing Santander,2,1
15.02. 15:15,Huesca,Ceuta,2,0
15.02. 13:00,Mirandes,Las Palmas,1,1
14.02. 20:00,Granada CF,Valladolid,5,1
14.02. 17:30,Cultural Leonesa,Zaragoza,0,0
14.02. 15:15,Burgos CF,Cadiz CF,1,1
14.02. 13:00,Cordoba,Leganes,2,1
13.02. 19:30,Almeria,Andorra,3,2
09.02. 19:30,Racing Santander,Mirandes,1,0
08.02. 20:00,Malaga,Cultural Leonesa,2,1
08.02. 17:30,Gijon,Huesca,2,1
08.02. 15:15,Cadiz CF,Almeria,1,2
08.02. 15:15,Dep. La Coruna,Albacete,2,1
08.02. 13:00,Valladolid,Castellon,0,4
07.02. 17:30,Zaragoza,Eibar,1,1
07.02. 15:15,Las Palmas,Burgos CF,0,0
