date,home,away,home_score,away_score
04.03. 17:30,Villarreal B,Eldense,2,0
01.03. 19:30,Villarreal B,Murcia,1,1
01.03. 17:15,Algeciras,Teruel,0,0
01.03. 15:00,FC Cartagena SAD,Sabadell,0,0
01.03. 15:00,Gimnastic,Antequera,0,1
01.03. 11:00,CE Europa,Torremolinos,2,3
01.03. 11:00,UD Ibiza,Tarazona,1,0
28.02. 20:00,Hercules,Eldense,2,1
28.02. 17:30,Alcorcon,Betis B,3,0
28.02. 17:30,Sanluqueno,Marbella,3,2
28.02. 17:30,Sevilla FC B,Atl. Madrid B,1,1
25.02. 19:00,FC Cartagena SAD,Sevilla FC B,1,0
25.02. 18:00,Torremolinos,Teruel,2,2
22.02. 19:30,Eldense,Alcorcon,2,2
22.02. 19:30,Teruel,UD Ibiza,1,0
22.02. 18:15,Antequera,CE Europa,0,2
22.02. 17:15,Murcia,FC Cartagena SAD,1,2
22.02. 11:00,Marbella,Algeciras,4,1
22.02. 11:00,Sabadell,Sanluqueno,2,0
21.02. 15:15,Atl. Madrid B,Gimnastic,1,2
21.02. 15:15,Tarazona,Sevilla FC B,2,0
21.02. 15:15,Torremolinos,Hercules,2,2
20.02. 19:30,Betis B,Villarreal B,1,4
15.02. 19:30,Alcorcon,Murcia,1,0
15.02. 17:15,FC Cartagena SAD,Marbella,2,1
15.02. 17:15,Hercules,Antequera,0,1
15.02. 15:00,UD Ibiza,Sabadell,2,0
15.02. 11:00,Sevilla FC B,Teruel,0,1
14.02. 20:00,Gimnastic,Betis B,2,2
14.02. 17:30,Algeciras,Torremolinos,1,0
14.02. 17:30,CE Europa,Tarazona,1,1
13.02. 18:00,Sanluqueno,Atl. Madrid B,1,2
08.02. 17:15,Gimnastic,Villarreal B,0,1
08.02. 11:00,Betis B,UD Ibiza,3,2
07.02. 20:00,Eldense,Sabadell,2,1
07.02. 17:30,Atl. Madrid B,Alcorcon,0,0
07.02. 15:15,Tarazona,Sanluqueno,0,2
06.02. 20:15,CE Europa,Hercules,1,1
01.02. 19:30,Alcorcon,Gimnastic,1,1
01.02. 17:15,Sabadell,Torremolinos,2,2
01.02. 15:00,Algeciras,Eldense,1,1
01.02. 15:00,UD Ibiza,Atl. Madrid B,2,0
01.02. 11:00,Marbella,Antequera,0,1
01.02. 11:00,Teruel,Murcia,0,0
31.01. 17:30,Sanluqueno,Betis B,1,4
31.01. 17:30,Villarreal B,Tarazona,1,1
31.01. 13:00,Sevilla FC B,CE Europa,0,1
30.01. 20:15,Hercules,FC Cartagena SAD,2,0
25.01. 19:30,Murcia,Algeciras,0,2
25.01. 17:15,Eldense,Teruel,2,0
25.01. 11:00,Tarazona,Hercules,2,2
25.01. 11:00,Torremolinos,Sevilla FC B,2,0
24.01. 20:00,Gimnastic,UD Ibiza,1,0
24.01. 17:30,Betis B,Marbella,0,1
24.01. 17:30,FC Cartagena SAD,CE Europa,2,2
24.01. 15:15,Antequera,Sanluqueno,2,0
24.01. 15:15,Sabadell,Alcorcon,0,0
24.01. 13:00,Atl. Madrid B,Villarreal B,1,1
18.01. 19:30,Sanluqueno,Gimnastic,1,0
18.01. 17:15,UD Ibiza,Murcia,2,0
18.01. 15:00,Algeciras,Betis B,2,0
18.01. 11:00,Teruel,Sabadell,0,1
18.01. 11:00,Torremolinos,Eldense,1,1
17.01. 17:30,Alcorcon,Antequera,2,1
17.01. 15:15,CE Europa,Atl. Madrid B,2,2
17.01. 15:15,Marbella,Tarazona,0,1
17.01. 13:00,Hercules,Sevilla FC B,0,0
16.01. 18:00,Villarreal B,FC Cartagena SAD,1,0
11.01. 17:00,Murcia,Hercules,1,1
11.01. 15:30,Betis B,Torremolinos,2,0
11.01. 15:30,Eldense,Sanluqueno,1,0
11.01. 15:30,Sabadell,Marbella,5,0
11.01. 13:00,Antequera,Atl. Madrid B,2,4
11.01. 11:00,FC Cartagena SAD,UD Ibiza,1,4
11.01. 11:00,Gimnastic,Teruel,0,1
11.01. 11:00,Tarazona,Algeciras,2,2
10.01. 13:00,CE Europa,Alcorcon,0,0
09.01. 18:00,Sevilla FC B,Villarreal B,0,0
