team,name_is
Mexico,Mexíkó
South Africa,Suður-Afríka
South Korea,Suður-Kórea
Czech Republic,Tékkland
Canada,Kanada
Bosnia and Herzegovina,Bosnía og Hersegóvína
Qatar,Katar
Switzerland,Sviss
Brazil,Brasilía
Morocco,Marokkó
Haiti,Haítí
Scotland,Skotland
United States,Bandaríkin
Paraguay,Paragvæ
Australia,Ástralía
Turkey,Tyrkland
Germany,Þýskaland
Curaçao,Curaçao
Ivory Coast,Fílabeinsströndin
Ecuador,Ekvador
Netherlands,Holland
Japan,Japan
Sweden,Svíþjóð
Tunisia,Túnis
Belgium,Belgía
Egypt,Egyptaland
Iran,Íran
New Zealand,Nýja-Sjáland
Spain,Spánn
Cape Verde,Grænhöfðaeyjar
Saudi Arabia,Sádi-Arabía
Uruguay,Úrúgvæ
France,Frakkland
Senegal,Senegal
Iraq,Írak
Norway,Noregur
Argentina,Argentína
Algeria,Alsír
Austria,Austurríki
Jordan,Jórdanía
Portugal,Portúgal
DR Congo,Kongó
Uzbekistan,Úsbekistan
Colombia,Kólumbía
England,England
Croatia,Króatía
Ghana,Gana
Panama,Panama
