date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-02-16,2025-02-16,football,england,male,outcome,Tottenham,Man United,home,2.35,0.5575,0.310125,NA,150,NA,TRUE,202,gsheets
2025-02-16,2025-02-16,football,england,male,totals,Tottenham,Man United,under,1.9,0.61075,0.16042499999999993,NA,150,3.25,TRUE,135,gsheets
2025-02-17,2025-02-21,football,england,male,handicap,Leicester,Brentford,home,2.09,0.568,0.18711999999999984,NA,150,0.25,FALSE,-150,gsheets
2025-02-16,2025-02-21,football,england,male,totals,Leicester,Brentford,under,1.97,0.62975,0.24060750000000009,NA,150,3,FALSE,-150,gsheets
2025-02-16,2025-02-22,football,england,male,handicap,Everton,Man United,home,1.7,0.70175,0.19297499999999995,NA,150,0.25,TRUE,105,gsheets
2025-02-17,2025-02-22,football,england,male,handicap,Fulham,Crystal Palace,away,2.13,0.61375,0.30728749999999994,NA,300,-0.25,TRUE,339,gsheets
2025-02-17,2025-02-22,football,england,male,handicap,Ipswich,Tottenham,away,1.7,0.774,0.31579999999999997,NA,450,0.25,TRUE,315,gsheets
2025-02-17,2025-02-22,football,england,male,outcome,Fulham,Crystal Palace,away,3.67,0.34925,0.28174750000000004,NA,150,NA,TRUE,400,gsheets
2025-02-17,2025-02-22,football,england,male,outcome,Ipswich,Tottenham,away,2.02,0.774,0.5634800000000001,NA,750,NA,TRUE,765,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Arsenal,West Ham,over,1.87,0.67375,0.2599125,NA,150,2.75,FALSE,-150,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Aston Villa,Chelsea,under,2.02,0.58775,0.18725499999999995,NA,150,3,FALSE,-150,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Bournemouth,Wolves,under,1.89,0.6635,0.2540149999999999,NA,150,3,TRUE,133,gsheets
2025-02-17,2025-02-22,football,england,male,totals,Southampton,Brighton,under,1.93,0.62225,0.2009424999999999,NA,150,3,FALSE,-150,gsheets
