date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-04-07,2025-04-07,football,iceland,male,handicap,Stjarnan,FH,away,1.25,0.87025,0.08781249999999996,NA,1335,-1.5,TRUE,334,gsheets
2025-04-07,2025-04-07,football,iceland,male,handicap,Víkingur R.,ÍBV,away,1.57,0.85925,0.3490225,NA,150,-2.5,TRUE,86,gsheets
2025-04-07,2025-04-07,football,iceland,male,outcome,Víkingur R.,ÍBV,away,12,0.50275,5.033,NA,150,NA,FALSE,-150,gsheets
2025-04-07,2025-04-07,football,iceland,male,totals,Víkingur R.,ÍBV,under,3.7,0.44975,0.6640750000000001,NA,465,2.5,TRUE,1256,gsheets
2025-04-10,2025-04-13,football,iceland,male,btts,Fram,Breiðablik,no,2.52,0.4915,0.23858000000000001,NA,465,NA,FALSE,-465,gsheets
2025-04-10,2025-04-13,football,iceland,male,btts,Víkingur R.,KA,no,2.41,0.47825,0.15258250000000018,NA,330,NA,TRUE,465,gsheets
2025-04-10,2025-04-13,football,iceland,male,handicap,Fram,Breiðablik,home,1.59,0.75,0.19250000000000006,NA,975,1.5,TRUE,575,gsheets
2025-04-10,2025-04-13,football,iceland,male,handicap,Víkingur R.,KA,away,1.83,0.59225,0.08381750000000016,NA,300,-1.5,FALSE,-300,gsheets
2025-04-10,2025-04-13,football,iceland,male,totals,Fram,Breiðablik,under,1.77,0.709,0.25493,NA,990,3.5,FALSE,-990,gsheets
2025-04-10,2025-04-13,football,iceland,male,totals,Víkingur R.,KA,under,1.88,0.6,0.1279999999999999,NA,435,3.5,FALSE,-435,gsheets
2025-04-13,2025-04-14,football,iceland,male,handicap,KR,Valur,away,1.4,0.8625,0.20749999999999996,NA,1560,-0.5,TRUE,624,gsheets
2025-04-10,2025-04-14,football,iceland,male,handicap,Stjarnan,ÍA,home,1.87,0.58175,0.08787250000000002,NA,300,-0.5,TRUE,261,gsheets
2025-04-13,2025-04-14,football,iceland,male,outcome,KR,Valur,away,2.1,0.732,0.5372,NA,1470,NA,FALSE,-1470,gsheets
2025-04-10,2025-04-14,football,iceland,male,outcome,Stjarnan,ÍA,home,1.91,0.58175,0.11114249999999992,NA,360,NA,TRUE,328,gsheets
2025-04-10,2025-04-14,football,iceland,male,totals,KR,Valur,under,2.22,0.523,0.1610600000000002,NA,390,3.5,FALSE,-390,gsheets
2025-04-15,2025-04-15,football,iceland,female,btts,Þróttur R.,Fram,no,1.68,0.69575,0.1688599999999999,NA,750,NA,FALSE,-750,gsheets
2025-04-15,2025-04-15,football,iceland,female,handicap,Þróttur R.,Fram,away,1.45,0.836,0.2121999999999999,NA,1410,-2.5,TRUE,635,gsheets
2025-04-15,2025-04-15,football,iceland,female,outcome,Þróttur R.,Fram,tie,7,0.3,1.0999999999999999,NA,555,NA,FALSE,-555,gsheets
2025-04-15,2025-04-15,football,iceland,female,totals,Breiðablik,Stjarnan,under,1.57,0.7135,0.12019500000000011,NA,630,3.5,FALSE,-630,gsheets
2025-04-15,2025-04-15,football,iceland,female,totals,Þróttur R.,Fram,under,1.74,0.7885,0.37198999999999993,NA,1515,3.5,FALSE,-1515,gsheets
2025-04-15,2025-04-16,football,iceland,female,handicap,Tindastóll,FHL,home,2.18,0.60025,0.30854499999999996,NA,795,-0.5,TRUE,938,gsheets
2025-04-15,2025-04-16,football,iceland,female,handicap,Valur,FH,away,2.25,0.518,0.16549999999999998,NA,30,-1.5,TRUE,38,gsheets
2025-04-15,2025-04-16,football,iceland,female,handicap,Víkingur R.,Þór/KA,away,1.2,0.9245,0.10939999999999994,NA,345,-1.5,TRUE,69,gsheets
2025-04-15,2025-04-16,football,iceland,female,outcome,Tindastóll,FHL,home,2.25,0.60025,0.3505624999999999,NA,840,NA,TRUE,1050,gsheets
2025-04-15,2025-04-16,football,iceland,female,totals,Tindastóll,FHL,over,2.45,0.523,0.2813500000000001,NA,585,3.5,FALSE,-585,gsheets
2025-04-15,2025-04-16,football,iceland,female,totals,Valur,FH,under,2.07,0.5905,0.22233499999999995,NA,630,3.5,TRUE,674,gsheets
2025-04-15,2025-04-16,football,iceland,female,totals,Víkingur R.,Þór/KA,under,1.59,0.73725,0.17222749999999998,NA,870,3.5,FALSE,-870,gsheets
2025-04-17,2025-04-17,football,iceland,female,handicap,ÍH,Grótta,home,1.85,0.654,0.2099000000000001,NA,150,3.5,FALSE,-150,gsheets
