date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
NA,2025-02-28,football,italy,male,handicap,Fiorentina,Lecce,home,2,0.691,0.3819999999999999,NA,150,-0.75,TRUE,150,gsheets
NA,2025-02-28,football,italy,male,handicap,Fiorentina,Lecce,home,3.2,0.453,0.4496000000000002,NA,150,-1,FALSE,-150,gsheets
2025-02-26,2025-02-28,football,italy,male,outcome,Fiorentina,Lecce,home,1.76,0.691,0.2161599999999999,NA,750,NA,TRUE,570,gsheets
2025-02-26,2025-03-02,football,italy,male,totals,Monza,Torino,under,1.82,0.603,0.09746,NA,150,2.25,TRUE,123,gsheets
NA,2025-03-15,football,italy,male,outcome,Milan,Como,home,1.84,0.722,0.32848,NA,900,NA,TRUE,756,gsheets
NA,2025-03-15,football,italy,male,outcome,Monza,Parma,home,3.05,0.46,0.4029999999999999,NA,450,NA,FALSE,-450,gsheets
NA,2025-03-15,football,italy,male,totals,Milan,Como,over,1.82,0.66,0.20120000000000005,NA,450,2.5,TRUE,369,gsheets
NA,2025-03-16,football,italy,male,outcome,Venezia,Napoli,away,1.56,0.711,0.10915999999999998,NA,675,NA,FALSE,-675,gsheets
2026-03-04,2026-03-07,football,italy,male,handicap,Avellino,Padova,home,1.24,0.87575,0.09,0.09,270,1,TRUE,64.80000000000001,pipeline
2026-03-04,2026-03-07,football,italy,male,handicap,Cagliari,Como,home,2.12,0.69775,0.48,0.09,272,1,FALSE,-272,pipeline
2026-03-04,2026-03-07,football,italy,male,handicap,Spezia,Monza,home,1.66,0.75075,0.25,0.1,283,1,TRUE,186.77999999999997,pipeline
2026-03-04,2026-03-07,football,italy,male,handicap,Venezia,Reggiana,away,1.67,0.7005,0.17,0.08,241,-2,FALSE,-241,pipeline
2026-03-04,2026-03-07,football,italy,male,outcome,Avellino,Padova,home,2.1,0.58725,0.23,0.08,228,NA,TRUE,250.8,pipeline
2026-03-04,2026-03-08,football,italy,male,handicap,Carrarese,Palermo,home,1.64,0.68175,0.12,0.08,225,1,FALSE,-225,pipeline
2026-03-04,2026-03-08,football,italy,male,handicap,Catanzaro,Empoli,away,1.75,0.6785,0.19,0.08,250,-1,FALSE,-250,pipeline
2026-03-05,2026-03-07,football,italy,male,outcome,Cagliari,Como,home,4.98,0.40125,0.9982,0.08,294,NA,FALSE,-294,pipeline
2026-03-05,2026-03-07,football,italy,male,outcome,Cagliari,Como,home,4.98,0.40125,0.9982,0.08,294,NA,FALSE,-294,pipeline
2026-03-05,2026-03-07,football,italy,male,outcome,Cagliari,Como,home,4.98,0.40125,0.9982,0.08,294,NA,FALSE,-294,pipeline
2026-03-05,2026-03-07,football,italy,male,outcome,Cagliari,Como,home,4.98,0.40125,0.9982,0.08,294,NA,FALSE,-294,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Venezia,Reggiana,away,2.81,0.465,0.3067,0.07,243,-1,FALSE,-243,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Venezia,Reggiana,away,2.81,0.465,0.3067,0.07,243,-1,FALSE,-243,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Venezia,Reggiana,away,2.81,0.465,0.3067,0.07,243,-1,FALSE,-243,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Venezia,Reggiana,away,2.81,0.465,0.3067,0.07,243,-1,FALSE,-243,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Cagliari,Como,home,1.37,0.87,0.1919,0.08,270,2,TRUE,99.90000000000003,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Cagliari,Como,home,1.37,0.87,0.1919,0.08,270,2,TRUE,99.90000000000003,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Modena,Cesena,away,1.28,0.84375,0.08,0.1,354,-2,TRUE,99.12,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Modena,Cesena,away,1.28,0.84375,0.08,0.1,354,-2,TRUE,99.12,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Cagliari,Como,home,1.37,0.87,0.1919,0.08,270,2,TRUE,99.90000000000003,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Cagliari,Como,home,1.37,0.87,0.1919,0.08,270,2,TRUE,99.90000000000003,pipeline
2026-03-05,2026-03-06,football,italy,male,handicap,Napoli,Torino,away,1.44,0.735,0.0584,0.07,235,-2,TRUE,103.39999999999998,pipeline
2026-03-05,2026-03-06,football,italy,male,handicap,Napoli,Torino,away,1.44,0.735,0.0584,0.07,235,-2,TRUE,103.39999999999998,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Modena,Cesena,away,1.28,0.84375,0.08,0.1,354,-2,TRUE,99.12,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Modena,Cesena,away,1.28,0.84375,0.08,0.1,354,-2,TRUE,99.12,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Avellino,Padova,home,1.01,0.995,0.005,0.08,279,3,TRUE,2.7900000000000205,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Avellino,Padova,home,1.01,0.995,0.005,0.08,279,3,TRUE,2.7900000000000205,pipeline
2026-03-05,2026-03-06,football,italy,male,handicap,Napoli,Torino,away,1.44,0.735,0.0584,0.07,235,-2,TRUE,103.39999999999998,pipeline
2026-03-05,2026-03-06,football,italy,male,handicap,Napoli,Torino,away,1.44,0.735,0.0584,0.07,235,-2,TRUE,103.39999999999998,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Avellino,Padova,home,1.01,0.995,0.005,0.08,279,3,TRUE,2.7900000000000205,pipeline
2026-03-05,2026-03-07,football,italy,male,handicap,Avellino,Padova,home,1.01,0.995,0.005,0.08,279,3,TRUE,2.7900000000000205,pipeline
2026-03-06,2026-03-07,football,italy,male,handicap,Sudtirol,Entella,home,1.18,0.86,0.0148,0.03,374,1,FALSE,-374,pipeline
2026-03-07,2026-03-08,football,italy,male,handicap,Lecce,Cremonese,away,1.62,0.67525,0.0939,0.05,494,-1,FALSE,-494,pipeline
2026-03-07,2026-03-08,football,italy,male,handicap,Bologna,Verona,home,1.11,0.9055,0.0051,0.05,482,1,FALSE,-482,pipeline
2026-03-08,2026-03-13,football,italy,male,handicap,Modena,Spezia,away,1.96,0.59675,0.1696,0.04,425,-1,FALSE,-425,pipeline
2026-03-08,2026-03-13,football,italy,male,handicap,Modena,Spezia,away,1.31,0.82425,0.0798,0.02,292,-2,FALSE,-292,pipeline
2026-03-08,2026-03-09,football,italy,male,handicap,Lazio,Sassuolo,home,1.27,0.8125,0.0319,0.05,546,1,TRUE,147.41999999999996,pipeline
