date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-03-17,2025-03-18,handball,denmark,female,totals,NFH,Viborg,over,1.58,0.6855,0.08309000000000005,NA,495,56.5,TRUE,287,gsheets
2025-03-17,2025-03-18,handball,denmark,female,totals,NFH,Viborg,under,1.88,0.61925,0.16418999999999984,NA,645,57.5,TRUE,568,gsheets
2025-03-17,2025-03-18,handball,denmark,female,totals,Odense,Silkeborg-Voel,under,1.95,0.57875,0.1285624999999999,NA,465,60.5,TRUE,442,gsheets
2025-03-19,2025-03-19,handball,denmark,female,outcome,Ringkobing,Aarhus Handbold,away,2.75,0.4065,0.11787499999999997,NA,225,NA,FALSE,-225,gsheets
2025-03-19,2025-03-19,handball,denmark,female,totals,Esbjerg,Sonderjyske,over,1.85,0.5845,0.08132500000000009,NA,330,57.5,TRUE,280,gsheets
2025-03-20,2025-03-20,handball,denmark,female,totals,Horsens,Bjerringbro,under,1.88,0.6625,0.2454999999999999,NA,1260,55.5,TRUE,1109,gsheets
2025-03-20,2025-03-20,handball,denmark,male,handicap,Bjerringbro/Silkeborg,Ribe-Esbjerg,away,1.9,0.6095,0.15805000000000002,NA,600,-4.5,TRUE,540,gsheets
2025-03-21,2025-03-21,handball,denmark,male,totals,Lemvig,Norddjurs,under,1.85,0.60925,0.12711249999999996,NA,675,61.5,FALSE,-675,gsheets
2025-03-21,2025-03-21,handball,denmark,male,totals,Raekker Molle,Faaborg,under,1.85,0.65825,0.21776250000000008,NA,1155,59.5,TRUE,982,gsheets
2025-03-21,2025-03-22,handball,denmark,male,totals,FIF,Odense,over,1.85,0.67975,0.2575375,NA,1365,60.5,TRUE,1160,gsheets
2025-03-20,2025-03-22,handball,denmark,male,totals,GOG,Nordsjaelland,over,1.88,0.59075,0.11061,NA,570,61.5,TRUE,502,gsheets
2025-03-20,2025-03-22,handball,denmark,male,totals,Skjern,Aalborg,over,1.88,0.6665,0.2530199999999999,NA,1290,58.5,TRUE,1135,gsheets
2025-03-24,2025-03-25,handball,denmark,female,totals,Silkeborg-Voel,Skanderborg,over,1.88,0.6205,0.16654000000000002,NA,1485,57.5,TRUE,1307,gsheets
2025-03-26,2025-03-26,handball,denmark,female,handicap,Ringkobing,Odense,home,1.95,0.7085,0.381575,NA,1500,8.5,TRUE,1425,gsheets
2025-03-28,2025-03-28,handball,denmark,male,totals,Ribe-Esbjerg,GOG,over,1.95,0.58,0.1309999999999999,NA,825,62.5,FALSE,-825,gsheets
