date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-03-20,2025-03-20,handball,france,male,totals,Tremblay,Toulouse,over,1.9,0.59975,0.139525,NA,540,59.5,FALSE,-540,gsheets
2025-03-21,2025-03-21,handball,france,male,handicap,Caen,Pontault,away,1.91,0.59775,0.14170249999999995,NA,540,-2.5,TRUE,491,gsheets
2025-03-20,2025-03-21,handball,france,male,handicap,Ivry,PSG,home,1.9,0.60975,0.15852500000000003,NA,615,9.5,FALSE,-615,gsheets
2025-03-21,2025-03-21,handball,france,male,totals,Angers,Sarrebourg,under,1.9,0.64525,0.22597499999999993,NA,870,59.5,TRUE,783,gsheets
2025-03-20,2025-03-21,handball,france,male,totals,Cesson Rennes-Metropole,Montpellier,under,2,0.75175,0.5035000000000001,NA,1740,58.5,TRUE,1740,gsheets
2025-03-20,2025-03-21,handball,france,male,totals,Creteil,Nimes,over,1.95,0.642,0.2519,NA,915,59.5,FALSE,-915,gsheets
2025-03-21,2025-03-21,handball,france,male,totals,Frotignan,Valence,over,1.8,0.63675,0.1461500000000001,NA,630,63.5,TRUE,504,gsheets
2025-03-20,2025-03-22,handball,france,male,totals,Nantes,Dunkerque,under,1.88,0.588,0.10543999999999987,NA,420,60.5,TRUE,370,gsheets
2025-03-20,2025-03-23,handball,france,male,totals,Chambery Savoie,Istres,under,2,0.55225,0.10450000000000004,NA,360,61.5,TRUE,360,gsheets
2025-03-27,2025-03-28,handball,france,female,handicap,Plan de Cuques,Sambre Avesnios,away,1.95,0.622,0.21289999999999998,NA,1350,-3.5,FALSE,-1350,gsheets
2025-03-27,2025-03-28,handball,france,male,handicap,Toulouse,Cesson Rennes-Metropole,away,1.8,0.66325,0.19385000000000008,NA,1455,-5.5,FALSE,-1455,gsheets
2025-03-27,2025-03-28,handball,france,male,outcome,Selestat,Angers,home,1.14,0.9365,0.06760999999999992,NA,2895,NA,TRUE,405,gsheets
2025-03-27,2025-03-28,handball,france,male,outcome,Valence,Saran,away,1.4,0.792,0.10880000000000001,NA,1635,NA,FALSE,-1635,gsheets
2025-03-27,2025-03-28,handball,france,male,totals,Montpellier,Tremblay,over,1.75,0.66325,0.16068749999999998,NA,1275,58.5,FALSE,-1275,gsheets
2025-03-27,2025-03-28,handball,france,male,totals,Nimes,Ivry,under,1.68,0.6565,0.1029199999999999,NA,915,60.5,TRUE,622,gsheets
2025-03-27,2025-03-28,handball,france,male,totals,Pontault,Dijon,under,1.85,0.64625,0.19556250000000008,NA,1380,57.5,TRUE,1173,gsheets
2025-03-27,2025-03-28,handball,france,male,totals,Toulouse,Cesson Rennes-Metropole,under,1.75,0.6205,0.08587500000000009,NA,690,59.5,FALSE,-690,gsheets
2025-03-27,2025-03-28,handball,france,male,totals,Valence,Saran,under,1.73,0.6165,0.06654500000000008,NA,540,59.5,FALSE,-540,gsheets
2025-04-04,2025-04-04,handball,france,male,handicap,Caen,Cournon d'Auvergne,away,1.9,0.62975,0.19652499999999995,NA,1305,-3.5,FALSE,-1305,gsheets
2025-04-04,2025-04-04,handball,france,male,handicap,St. Raphael,Montpellier,home,1.9,0.55175,0.048324999999999896,NA,315,3.5,FALSE,-315,gsheets
2025-04-04,2025-04-04,handball,france,male,outcome,Creteil,Dunkerque,home,2.1,0.5065,0.06364999999999998,NA,345,NA,FALSE,-345,gsheets
2025-04-04,2025-04-04,handball,france,male,totals,Chambery Savoie,Aix,over,1.89,0.66125,0.2497625,NA,1575,60.5,TRUE,1402,gsheets
2025-04-04,2025-04-04,handball,france,male,totals,Cherbourg,Selestat,under,1.85,0.592,0.09519999999999995,NA,675,55.5,TRUE,574,gsheets
2025-04-04,2025-04-04,handball,france,male,totals,Dijon,Nancy,under,1.91,0.57375,0.09586249999999996,NA,630,60.5,FALSE,-630,gsheets
2025-04-04,2025-04-04,handball,france,male,totals,Pau Billere,Pontault,under,1.95,0.68075,0.3274624999999999,NA,1725,58.5,FALSE,-1725,gsheets
2025-04-04,2025-04-04,handball,france,male,totals,Saran,Frontignan,over,1.91,0.606,0.15745999999999993,NA,1035,63.5,TRUE,942,gsheets
2025-04-04,2025-04-05,handball,france,male,totals,Cesson Rennes-Metropole,Nimes,under,1.8,0.589,0.060199999999999976,NA,450,57.5,TRUE,360,gsheets
2025-04-04,2025-04-06,handball,france,male,handicap,Chartres,PSG,home,2,0.5275,0.05499999999999994,NA,330,7.5,TRUE,330,gsheets
2025-04-07,2025-04-08,handball,france,male,outcome,Besancon,Saran,away,1.36,0.84225,0.14546000000000014,NA,540,NA,FALSE,-540,gsheets
2025-04-10,2025-04-11,handball,france,male,outcome,Dijon,Valence,home,1.2,0.869,0.04279999999999995,NA,390,NA,TRUE,78,gsheets
