date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-03-19,2025-03-20,handball,germany,male,handicap,Rhein-Neckar,Hannover-Burgdorf,home,1.85,0.59375,0.09843750000000008,NA,405,0.5,FALSE,-405,gsheets
2025-03-19,2025-03-20,handball,germany,male,outcome,Hamburg,MT Melsungen,away,1.55,0.68225,0.05748750000000008,NA,360,NA,FALSE,-360,gsheets
2025-03-17,2025-03-20,handball,germany,male,outcome,Rhein-Neckar,Hannover-Burgdorf,home,2.24,0.54975,0.23144,NA,645,NA,FALSE,-645,gsheets
2025-03-19,2025-03-20,handball,germany,male,totals,Hamburg,MT Melsungen,over,1.88,0.6545,0.2304599999999999,NA,900,57.5,TRUE,792,gsheets
2025-03-20,2025-03-20,handball,germany,male,totals,Rhein-Neckar,Hannover-Burgdorf,over,1.65,0.67375,0.11168749999999988,NA,780,58.5,TRUE,507,gsheets
2025-03-20,2025-03-21,handball,germany,male,handicap,SC Magdeburg,Fuchse Berlin,away,1.62,0.65725,0.06474500000000005,NA,465,-2.5,TRUE,288,gsheets
2025-03-21,2025-03-21,handball,germany,male,outcome,Dormagen,Konstanz,home,1.2,0.8715,0.04580000000000003,NA,1035,NA,TRUE,207,gsheets
2025-03-19,2025-03-21,handball,germany,male,outcome,SC Magdeburg,Fuchse Berlin,away,2.8,0.425,0.18999999999999995,NA,360,NA,TRUE,648,gsheets
2025-03-21,2025-03-21,handball,germany,male,totals,Essen,Minden,under,1.85,0.637,0.1784500000000001,NA,945,57.5,FALSE,-945,gsheets
2025-03-21,2025-03-21,handball,germany,male,totals,Hagen,Grosswallstadt,over,1.85,0.67025,0.23996250000000008,NA,1275,57.5,FALSE,-1275,gsheets
2025-03-20,2025-03-21,handball,germany,male,totals,SC Magdeburg,Fuchse Berlin,over,1.68,0.73075,0.22765999999999997,NA,1500,59.5,TRUE,1020,gsheets
2025-03-19,2025-03-21,handball,germany,male,totals,SC Magdeburg,Fuchse Berlin,over,1.88,0.61275,0.15196999999999994,NA,615,61.5,TRUE,541,gsheets
2025-03-22,2025-03-22,handball,germany,female,handicap,Kurpfalz Baren Ketsch,Leipzig,under,1.85,0.6305,0.1664249999999999,NA,885,55.5,FALSE,-885,gsheets
2025-03-22,2025-03-22,handball,germany,female,handicap,Mainz-Bretzenheim,Fuchse Berlin,under,1.85,0.634,0.17290000000000005,NA,915,49.5,FALSE,-915,gsheets
2025-03-22,2025-03-22,handball,germany,female,handicap,Nurtingen,Werder Bremen,under,1.75,0.6035,0.05612500000000009,NA,330,58.5,FALSE,-330,gsheets
