date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-02-12,2025-02-12,handball,iceland,male,outcome,Haukar,ÍBV,home,1.65,0.735,0.2127499999999999,NA,750,NA,TRUE,488,gsheets
2025-02-13,2025-02-13,handball,iceland,male,outcome,Afturelding,HK,away,7,0.18,0.26,NA,150,NA,FALSE,-150,gsheets
2025-02-12,2025-02-13,handball,iceland,male,outcome,KA,Fram,away,1.6,0.64,0.02400000000000007,NA,150,NA,TRUE,90,gsheets
2025-02-13,2025-02-13,handball,iceland,male,totals,Grótta,Stjarnan,under,1.9,0.601,0.14189999999999992,NA,150,NA,TRUE,135,gsheets
2025-02-13,2025-02-13,handball,iceland,male,totals,KA,Fram,over,1.9,0.63075,0.19842499999999996,NA,150,NA,TRUE,135,gsheets
2025-02-13,2025-02-14,handball,iceland,male,handicap,Fjölnir,FH,away,1.9,0.60775,0.154725,NA,450,NA,TRUE,405,gsheets
2025-02-13,2025-02-14,handball,iceland,male,outcome,Fjölnir,FH,away,1.22,0.92,0.12240000000000004,NA,1500,NA,TRUE,330,gsheets
2025-02-13,2025-02-14,handball,iceland,male,totals,Fjölnir,FH,under,1.9,0.6385,0.21314999999999984,NA,450,NA,FALSE,-450,gsheets
2025-02-14,2025-02-15,handball,iceland,female,handicap,Fram,Selfoss,home,1.9,0.5865,0.11434999999999997,NA,150,NA,FALSE,-150,gsheets
2025-02-14,2025-02-15,handball,iceland,female,handicap,Stjarnan,ÍR,away,1.85,0.6385,0.18122499999999997,NA,150,NA,TRUE,128,gsheets
2025-02-14,2025-02-15,handball,iceland,female,outcome,Fram,Selfoss,home,1.2,0.8575,0.02899999999999999,NA,300,NA,TRUE,60,gsheets
2025-02-14,2025-02-15,handball,iceland,female,outcome,Stjarnan,ÍR,away,2.4,0.6025,0.44600000000000006,NA,300,NA,TRUE,420,gsheets
2025-02-14,2025-02-15,handball,iceland,female,totals,Fram,Selfoss,over,1.9,0.59925,0.1385749999999999,NA,150,NA,TRUE,135,gsheets
2025-02-14,2025-02-15,handball,iceland,female,totals,Fram,Selfoss,under,1.9,0.6545,0.24354999999999993,NA,150,NA,FALSE,-150,gsheets
2025-02-14,2025-02-15,handball,iceland,female,totals,Stjarnan,ÍR,under,1.9,0.558,0.06020000000000003,NA,150,NA,TRUE,135,gsheets
2025-02-13,2025-02-15,handball,iceland,male,handicap,ÍR,Valur,home,1.9,0.6225,0.18275000000000008,NA,300,7.5,FALSE,-300,gsheets
2025-02-13,2025-02-15,handball,iceland,male,outcome,ÍR,Valur,home,11,0.1,0.09999999999999998,NA,150,NA,FALSE,-150,gsheets
2025-02-13,2025-02-15,handball,iceland,male,totals,ÍR,Valur,over,1.9,0.60225,0.14427499999999982,NA,450,63.5,TRUE,405,gsheets
2025-02-15,2025-02-16,handball,iceland,male,outcome,ÍBV,Grótta,home,1.33,0.77675,0.03307750000000015,NA,300,NA,TRUE,99,gsheets
2025-02-15,2025-02-16,handball,iceland,male,totals,ÍBV,Grótta,under,1.88,0.603,0.13363999999999987,NA,300,61.5,TRUE,264,gsheets
2025-02-18,2025-02-18,handball,iceland,female,handicap,Valur,Selfoss,home,1.9,0.628,0.19319999999999993,NA,450,-7.5,TRUE,405,gsheets
2025-02-18,2025-02-18,handball,iceland,female,outcome,Valur,Selfoss,home,1.14,0.96925,0.10494499999999984,NA,1500,NA,TRUE,210,gsheets
2025-02-18,2025-02-19,handball,iceland,female,outcome,Haukar,Stjarnan,home,1.18,0.91275,0.07704499999999989,NA,750,NA,TRUE,135,gsheets
2025-02-18,2025-02-19,handball,iceland,female,totals,Haukar,Stjarnan,over,1.9,0.678,0.2882,NA,450,49.5,TRUE,405,gsheets
2025-02-18,2025-02-20,handball,iceland,male,outcome,FH,Grótta,home,1.22,0.87025,0.06170499999999993,NA,450,NA,TRUE,99,gsheets
2025-02-18,2025-02-20,handball,iceland,male,outcome,Valur,Fjölnir,home,1.05,0.96825,0.0166625000000001,NA,600,NA,TRUE,30,gsheets
2025-02-18,2025-02-20,handball,iceland,male,totals,FH,Grótta,under,1.9,0.61775,0.17372500000000002,NA,150,58.5,TRUE,135,gsheets
2025-02-18,2025-02-20,handball,iceland,male,totals,Fram,ÍR,over,1.9,0.76175,0.447325,NA,450,63.5,TRUE,405,gsheets
2025-02-18,2025-02-21,handball,iceland,male,outcome,HK,KA,home,1.8,0.61825,0.11284999999999996,NA,150,NA,TRUE,120,gsheets
2025-02-22,2025-02-22,handball,iceland,female,outcome,Grótta,Fram,away,1.16,0.9215,0.06893999999999992,NA,1050,NA,TRUE,168,gsheets
2025-02-22,2025-02-22,handball,iceland,female,totals,Grótta,Fram,under,1.9,0.6375,0.21124999999999983,NA,750,51.5,FALSE,-750,gsheets
2025-03-04,2025-03-04,handball,iceland,male,outcome,Grótta,Fjölnir,home,1.36,0.7995,0.08732000000000006,NA,525,NA,FALSE,-525,gsheets
2025-03-04,2025-03-04,handball,iceland,male,outcome,Haukar,FH,away,2.4,0.439,0.05359999999999998,NA,135,NA,TRUE,189,gsheets
2025-03-04,2025-03-04,handball,iceland,male,outcome,ÍR,HK,away,1.6,0.71475,0.14360000000000006,NA,525,NA,FALSE,-525,gsheets
2025-03-04,2025-03-04,handball,iceland,male,totals,Grótta,Fjölnir,under,1.9,0.65,0.235,NA,450,58.5,FALSE,-450,gsheets
2025-03-04,2025-03-04,handball,iceland,male,totals,Haukar,FH,under,1.85,0.73125,0.3528125,NA,750,60.5,TRUE,638,gsheets
