date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2026-01-19,2026-01-19,handball,international,male,handicap,Austria,Serbia,away,1.8,0.62775,0.7577,NA,690,0.5,FALSE,-690,gsheets
2026-01-19,2026-01-19,handball,international,male,handicap,Netherlands,Croatia,away,2.07,0.6665,1.0461549999999995,NA,1500,2.5,TRUE,1605,gsheets
2026-01-19,2026-01-19,handball,international,male,handicap,Norway,France,home,1.97,0.79525,1.3618925,NA,2460,3.5,FALSE,-2460,gsheets
2026-01-19,2026-01-19,handball,international,male,outcome,Austria,Serbia,away,1.85,0.62775,0.7890875000000002,NA,795,NA,FALSE,-795,gsheets
2026-01-19,2026-01-19,handball,international,male,outcome,Czech Republic,Ukraine,home,1.18,0.87625,0.9102249999999998,NA,795,NA,TRUE,143,gsheets
2026-01-19,2026-01-19,handball,international,male,outcome,Netherlands,Croatia,away,1.55,0.78775,1.0087625,NA,1695,NA,TRUE,932,gsheets
2026-01-19,2026-01-19,handball,international,male,outcome,Norway,France,home,4.7,0.5255,1.99535,NA,1665,NA,FALSE,-1665,gsheets
2026-01-19,2026-01-19,handball,international,male,totals,Czech Republic,Ukraine,under,1.82,0.62525,0.763205,NA,705,59.5,FALSE,-705,gsheets
2026-01-19,2026-01-19,handball,international,male,totals,Germany,Spain,over,1.93,0.69975,1.0502675,NA,1590,56.5,TRUE,1479,gsheets
2026-01-19,2026-01-19,handball,international,male,totals,Netherlands,Croatia,over,2,0.616,0.848,NA,975,61.5,TRUE,975,gsheets
2026-01-19,2026-01-19,handball,international,male,totals,Norway,France,under,1.72,0.63625,0.7305999999999999,NA,555,64.5,FALSE,-555,gsheets
2026-01-19,2026-01-19,handball,international,male,totals,Sweden,Georgia,under,1.77,0.651,0.8032700000000002,NA,825,62.5,FALSE,-825,gsheets
2026-01-20,2026-01-20,handball,international,male,handicap,Denmark,Portugal,home,1.87,0.60875,0.7471125000000002,NA,675,-7.5,FALSE,-675,gsheets
2026-01-20,2026-01-20,handball,international,male,handicap,Hungary,Iceland,home,2.02,0.57925,0.7493350000000001,NA,705,2.5,TRUE,719,gsheets
2026-01-20,2026-01-20,handball,international,male,handicap,Montenegro,Switzerland,home,1.88,0.7775,1.2392,NA,2205,5.5,FALSE,-2205,gsheets
2026-01-20,2026-01-20,handball,international,male,handicap,North Macedonia,Romania,away,1.79,0.75625,1.1099375,NA,1890,-5.5,TRUE,1493,gsheets
2026-01-20,2026-01-20,handball,international,male,handicap,Poland,Italy,home,1.8,0.67725,0.8963,NA,1155,1.5,TRUE,924,gsheets
2026-01-20,2026-01-20,handball,international,male,handicap,Slovenia,Faroe Islands,home,1.81,0.86325,1.4257325,NA,675,0.5,TRUE,547,gsheets
