date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-03-17,2025-03-18,handball,spain,female,totals,Elche-Mustang,Porrino,under,1.8,0.69775,0.25595,NA,1110,48.5,TRUE,888,gsheets
2025-03-18,2025-03-19,handball,spain,male,handicap,Torrelavega,La Rioja,away,1.95,0.684,0.3338000000000001,NA,1215,-2.5,TRUE,1154,gsheets
2025-03-18,2025-03-19,handball,spain,male,outcome,CD Bidasoa Irun,Villa de Aranda,home,1.25,0.82525,0.03156250000000005,NA,435,NA,TRUE,109,gsheets
2025-03-18,2025-03-19,handball,spain,male,outcome,Torrelavega,La Rioja,away,3.75,0.46275,0.7353125,NA,915,NA,TRUE,2516,gsheets
2025-03-18,2025-03-19,handball,spain,male,totals,Torrelavega,La Rioja,over,1.8,0.7125,0.2825000000000001,NA,1215,58.5,TRUE,972,gsheets
2025-03-21,2025-03-22,handball,spain,male,handicap,Barcelona,Nava,away,1.87,0.77875,0.45626250000000024,NA,2370,-15.5,FALSE,-2370,gsheets
2025-03-21,2025-03-22,handball,spain,male,totals,Barcelona,Nava,over,1.95,0.6415,0.25092499999999984,NA,1185,67.5,TRUE,1126,gsheets
2025-03-21,2025-03-22,handball,spain,male,totals,Barcelona,Nava,over,1.55,0.75325,0.1675375,NA,1365,65.5,TRUE,751,gsheets
2025-03-21,2025-03-22,handball,spain,male,totals,La Rioja,Benidorm,over,1.85,0.6145,0.13682500000000009,NA,720,60.5,TRUE,612,gsheets
2025-03-23,2025-03-23,handball,spain,male,totals,Atl. Valladolid,Anaitasuna,over,1.87,0.659,0.23233000000000015,NA,2100,58.5,TRUE,1827,gsheets
2025-03-23,2025-03-23,handball,spain,male,totals,Cuenca,Ademar,under,2,0.5855,0.17100000000000004,NA,1350,58.5,FALSE,-1350,gsheets
2025-03-26,2025-03-26,handball,spain,female,handicap,Porrino,Malaga,home,1.75,0.628,0.09899999999999998,NA,1035,2.5,FALSE,-1035,gsheets
2025-03-26,2025-03-26,handball,spain,female,outcome,La Calzada,Bera Bera,away,1.17,0.8865,0.03720499999999988,NA,1725,NA,TRUE,293,gsheets
2025-03-26,2025-03-27,handball,spain,male,handicap,Ademar,Barcelona,home,1.9,0.71575,0.35992499999999994,NA,1200,10.5,TRUE,1080,gsheets
2025-03-28,2025-03-29,handball,spain,male,handicap,Quabit Guadalajara,Barcelona,home,1.8,0.80325,0.4458500000000001,NA,1260,16.5,TRUE,1008,gsheets
2025-03-26,2025-03-29,handball,spain,male,totals,Granollers,Villa de Aranda,under,1.88,0.62775,0.1801699999999999,NA,1230,61.5,FALSE,-1230,gsheets
2025-03-28,2025-03-29,handball,spain,male,totals,Quabit Guadalajara,Barcelona,under,8.1,0.6455,4.228549999999999,NA,270,66.5,TRUE,1917,gsheets
2025-04-11,2025-04-11,handball,spain,male,handicap,Anaitasuna,Villa de Aranda,home,2,0.58925,0.1785000000000001,NA,1245,-0.5,FALSE,-1245,gsheets
2025-04-11,2025-04-11,handball,spain,male,outcome,Anaitasuna,Villa de Aranda,home,2,0.634,0.268,NA,1860,NA,FALSE,-1860,gsheets
2025-04-11,2025-04-11,handball,spain,male,outcome,Anaitasuna,Villa de Aranda,under,1.89,0.59125,0.11746250000000004,NA,915,57.5,TRUE,814,gsheets
2025-04-11,2025-04-11,handball,spain,male,outcome,La Rioja,Cuenca,under,1.85,0.596,0.10260000000000002,NA,840,62.5,FALSE,-840,gsheets
2025-04-11,2025-04-12,handball,spain,male,handicap,Benidorm,Barcelona,home,1.95,0.647,0.26165000000000005,NA,1920,12.5,FALSE,-1920,gsheets
2025-04-11,2025-04-12,handball,spain,male,handicap,Morrazo Cangas,Torrelavega,home,1.85,0.63025,0.1659625,NA,1365,1.5,TRUE,1160,gsheets
2025-04-11,2025-04-12,handball,spain,male,outcome,Benidorm,Barcelona,under,1.89,0.559,0.05651000000000006,NA,480,65.5,TRUE,427,gsheets
2025-04-11,2025-04-12,handball,spain,male,outcome,Morrazo Cangas,Torrelavega,home,2.8,0.48875,0.36849999999999994,NA,1425,NA,TRUE,2565,gsheets
2025-04-11,2025-04-12,handball,spain,male,outcome,Quabit Guadalajara,CD Bidasoa Irun,under,1.88,0.696,0.30847999999999987,NA,1500,60.5,FALSE,-1500,gsheets
2025-09-18,2025-09-19,handball,spain,male,totals,Nava,Morrazo Cangas,over,1.85,0.7355,0.3606750000000002,NA,570,60.5,TRUE,485,gsheets
