date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-03-17,2025-03-17,handball,sweden,male,handicap,Kristianstad,Karlskrona,home,1.72,0.67075,0.15368999999999988,NA,1110,-2.5,TRUE,799,gsheets
2025-03-17,2025-03-17,handball,sweden,male,handicap,Kristianstad,Karlskrona,home,1.95,0.63,0.22849999999999993,NA,915,-3.5,TRUE,869,gsheets
2025-03-17,2025-03-17,handball,sweden,male,outcome,Kristianstad,Karlskrona,home,1.36,0.82,0.11520000000000002,NA,1650,NA,TRUE,594,gsheets
2025-03-17,2025-03-17,handball,sweden,male,totals,Kristianstad,Karlskrona,under,1.77,0.58475,0.03500749999999997,NA,240,59.5,TRUE,185,gsheets
2025-03-17,2025-03-17,handball,sweden,male,totals,Ystads IF,Skovde,under,1.8,0.64525,0.16144999999999998,NA,1050,63.5,FALSE,-1050,gsheets
2025-03-19,2025-03-19,handball,sweden,female,handicap,Savehof,Kungalvs,home,1.85,0.58575,0.08363750000000003,NA,345,-6.5,FALSE,-345,gsheets
2025-03-19,2025-03-19,handball,sweden,female,handicap,Vasteras,Skovde,home,1.85,0.6095,0.1275750000000001,NA,525,-0.5,TRUE,446,gsheets
2025-03-19,2025-03-19,handball,sweden,female,outcome,Vasteras,Skovde,home,1.73,0.648,0.12104000000000004,NA,570,NA,TRUE,416,gsheets
2025-03-19,2025-03-19,handball,sweden,female,outcome,Ystads,Halby,home,5,0.28525,0.42625,NA,375,NA,FALSE,-375,gsheets
2025-03-19,2025-03-19,handball,sweden,female,totals,Kristianstad,H 65 Hoor,under,1.85,0.602,0.11370000000000002,NA,465,53.5,FALSE,-465,gsheets
2025-03-19,2025-03-19,handball,sweden,female,totals,Savehof,Kungalvs,under,1.95,0.65725,0.2816375,NA,1020,53.5,TRUE,969,gsheets
2025-03-19,2025-03-19,handball,sweden,female,totals,Skara,Skuru,over,1.87,0.60025,0.12246749999999995,NA,480,54.5,FALSE,-480,gsheets
2025-03-20,2025-03-20,handball,sweden,male,handicap,Onnereds,Skanela,away,1.85,0.61625,0.14006249999999998,NA,735,-6.5,TRUE,625,gsheets
2025-03-20,2025-03-20,handball,sweden,male,handicap,Skovde,Hallby,away,1.7,0.61925,0.05272499999999991,NA,345,-3.5,FALSE,-345,gsheets
2025-03-20,2025-03-20,handball,sweden,male,totals,Amo,Karlskrona,over,1.78,0.64925,0.15566500000000005,NA,900,59.5,FALSE,-900,gsheets
2025-03-20,2025-03-20,handball,sweden,male,totals,Onnereds,Skanela,over,1.91,0.56075,0.07103249999999994,NA,345,61.5,FALSE,-345,gsheets
2025-03-20,2025-03-20,handball,sweden,male,totals,Savehof,Hammarby,over,2,0.56125,0.12250000000000005,NA,360,60.5,FALSE,-360,gsheets
2025-03-20,2025-03-20,handball,sweden,male,totals,Skovde,Hallby,under,1.8,0.617,0.11060000000000003,NA,615,59.5,TRUE,492,gsheets
2025-03-20,2025-03-20,handball,sweden,male,totals,Ystads IF,Malmo,under,1.78,0.67325,0.19838500000000003,NA,1140,62.5,FALSE,-1140,gsheets
2025-03-24,2025-03-24,handball,sweden,male,handicap,Ystads IF,Hallby,away,2,0.6025,0.20500000000000007,NA,1620,-5.5,FALSE,-1620,gsheets
2025-03-24,2025-03-24,handball,sweden,male,totals,Malmo,Helsingborg,under,1.67,0.74175,0.2387225,NA,2805,58.5,TRUE,1879,gsheets
2025-03-24,2025-03-24,handball,sweden,male,totals,Ystads IF,Hallby,under,1.88,0.61125,0.1491499999999999,NA,1335,62.5,FALSE,-1335,gsheets
2025-03-24,2025-03-25,handball,sweden,female,totals,Savehof,Hallby,over,1.75,0.62875,0.10031250000000003,NA,1050,56.5,TRUE,788,gsheets
2025-03-24,2025-03-25,handball,sweden,male,handicap,Kristianstad,Hammarby,home,1.62,0.701,0.13562000000000002,NA,1725,-1.5,FALSE,-1725,gsheets
2025-03-24,2025-03-25,handball,sweden,male,outcome,Kristianstad,Hammarby,home,1.4,0.7975,0.11649999999999994,NA,2295,NA,FALSE,-2295,gsheets
2025-03-24,2025-03-25,handball,sweden,male,totals,Karlskrona,Savehof,under,2,0.601,0.20199999999999996,NA,1590,60.5,TRUE,1590,gsheets
2025-03-24,2025-03-25,handball,sweden,male,totals,Kristianstad,Hammarby,under,2,0.599,0.19799999999999995,NA,1560,60.5,TRUE,1560,gsheets
2025-03-27,2025-03-27,handball,sweden,female,outcome,Vasteras,Skuru,home,2.02,0.539,0.08878000000000008,NA,525,NA,FALSE,-525,gsheets
2025-03-27,2025-03-27,handball,sweden,male,handicap,Hallby,Ystads IF,home,1.95,0.62475,0.21826250000000003,NA,1380,4.5,FALSE,-1380,gsheets
2025-03-27,2025-03-27,handball,sweden,male,totals,Hallby,Ystads IF,under,1.78,0.62625,0.11472499999999997,NA,885,63.5,TRUE,690,gsheets
2025-03-27,2025-03-27,handball,sweden,male,totals,Helsingborg,Malmo,under,1.88,0.59625,0.12094999999999989,NA,825,57.5,TRUE,726,gsheets
2025-03-27,2025-03-28,handball,sweden,female,handicap,Onnereds,H 65 Hoor,away,2.4,0.491,0.1783999999999999,NA,765,1.5,TRUE,1071,gsheets
2025-03-27,2025-03-28,handball,sweden,female,outcome,Onnereds,H 65 Hoor,away,2,0.60425,0.2084999999999999,NA,1245,NA,TRUE,1245,gsheets
2025-03-27,2025-03-28,handball,sweden,female,totals,Onnereds,H 65 Hoor,under,1.95,0.625,0.21875,NA,1380,49.5,TRUE,1311,gsheets
2025-03-27,2025-03-28,handball,sweden,male,totals,Hammarby,Kristianstad,under,1.88,0.57325,0.07771000000000006,NA,525,60.5,TRUE,462,gsheets
2025-03-27,2025-03-29,handball,sweden,male,handicap,Onnereds,Aranas,away,1.78,0.6035,0.07423000000000007,NA,570,-4.5,TRUE,445,gsheets
2025-03-28,2025-03-30,handball,sweden,male,handicap,Amo HK,Vinslovs,under,2,0.74625,0.49249999999999994,NA,2955,62.5,TRUE,2955,gsheets
2025-03-28,2025-03-30,handball,sweden,male,handicap,Ystads IF,Hallby,away,1.9,0.62075,0.17942499999999995,NA,1200,-6.5,FALSE,-1200,gsheets
2025-09-20,2025-09-20,handball,sweden,male,outcome,Malmo,Skovde,home,2,0.59275,0.1855,NA,255,NA,TRUE,255,gsheets
