date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,currency_original,booker,source
2025-02-12,2025-02-12,handball,iceland,male,outcome,Haukar,ÍBV,home,1.65,0.735,0.21274999999999994,NA,750,NA,TRUE,488,EUR,EpicBet,gsheets
2025-02-13,2025-02-13,handball,iceland,male,outcome,Afturelding,HK,away,7,0.18,0.26,NA,150,NA,FALSE,-150,EUR,CoolBet,gsheets
2025-02-13,2025-02-13,handball,iceland,male,totals,Grótta,Stjarnan,under,1.9,0.601,0.14189999999999992,NA,150,NA,TRUE,135,EUR,CoolBet,gsheets
2025-02-12,2025-02-13,handball,iceland,male,outcome,KA,Fram,away,1.6,0.64,0.024000000000000077,NA,150,NA,TRUE,90,EUR,EpicBet,gsheets
2025-02-13,2025-02-13,handball,iceland,male,totals,KA,Fram,over,1.9,0.63075,0.19842499999999996,NA,150,NA,TRUE,135,EUR,CoolBet,gsheets
2025-02-13,2025-02-14,handball,iceland,male,outcome,Fjölnir,FH,away,1.22,0.92,0.12240000000000004,NA,1500,NA,TRUE,330,EUR,CoolBet,gsheets
2025-02-13,2025-02-14,handball,iceland,male,handicap,Fjölnir,FH,away,1.9,0.60775,0.154725,NA,450,NA,TRUE,405,EUR,CoolBet,gsheets
2025-02-13,2025-02-14,handball,iceland,male,totals,Fjölnir,FH,under,1.9,0.6385,0.21314999999999984,NA,450,NA,FALSE,-450,EUR,EpicBet,gsheets
2025-02-15,2025-02-15,basketball,iceland,female,outcome,Grindavík,Aþena,away,3.72,0.334,0.24248000000000014,NA,150,NA,FALSE,-150,EUR,EpicBet,gsheets
2025-02-15,2025-02-15,basketball,iceland,female,handicap,Grindavík,Aþena,away,1.87,0.605,0.13135000000000008,NA,300,-9.5,FALSE,-300,EUR,EpicBet,gsheets
2025-02-15,2025-02-15,basketball,iceland,female,totals,Grindavík,Aþena,under,1.87,0.85925,0.6067975,NA,300,153.5,FALSE,-300,EUR,CoolBet,gsheets
2025-02-14,2025-02-15,handball,iceland,female,outcome,Fram,Selfoss,home,1.2,0.8575,0.028999999999999998,NA,300,NA,TRUE,60,EUR,EpicBet,gsheets
